Richness,Chain,Omnivory,Apparent,Exploitative,FCL,Resource,Disturbance,Ecosystem
3,1,0,0,0,2,4,0.1,0.1
5,0.5,0,0,0.5,2,4,0.1,0.1
3,0,0,1,0,1,4,0.1,0.1
17,0.300813008,0.12195122,0.284552846,0.292682927,5,4,0.1,0.1
3,NA,NA,NA,NA,1,4,0.1,0.1
7,0.5,0,0.142857143,0.357142857,3,4,0.1,0.1
11,0.272727273,0.121212121,0.333333333,0.272727273,3,4,0.1,0.1
7,0.625,0.125,0.125,0.125,3,4,0.1,0.1
8,0.368421053,0.105263158,0.210526316,0.315789474,3,4,0.1,0.1
8,0.307692308,0.076923077,0.153846154,0.461538462,3,4,0.1,0.1
11,0.342857143,0.142857143,0.2,0.314285714,3,4,0.1,0.1
2,NA,NA,NA,NA,0,4,0.1,0.1
7,0.666666667,0,0.166666667,0.166666667,3,4,0.1,0.1
14,0.416666667,0.083333333,0.208333333,0.291666667,4,4,0.1,0.1
12,0.510204082,0.081632653,0.183673469,0.224489796,5,4,0.1,0.1
5,0,0.333333333,0,0.666666667,2,4,0.1,0.1
13,0.410714286,0.053571429,0.267857143,0.267857143,4,4,0.1,0.1
9,0.470588235,0.117647059,0.058823529,0.352941176,3,4,0.1,0.1
9,0.5,0.071428571,0.214285714,0.214285714,3,4,0.1,0.1
6,0.444444444,0.111111111,0.111111111,0.333333333,3,4,0.1,0.1
11,0.25,0.071428571,0.178571429,0.5,2,4,0.1,0.2
7,0.666666667,0,0.166666667,0.166666667,2,4,0.1,0.2
6,0.444444444,0,0.222222222,0.333333333,2,4,0.1,0.2
11,0.290322581,0.193548387,0,0.516129032,5,4,0.1,0.2
16,0.293650794,0.126984127,0.285714286,0.293650794,5,4,0.1,0.2
6,0.142857143,0.285714286,0,0.571428571,2,4,0.1,0.2
5,0,0.333333333,0,0.666666667,2,4,0.1,0.2
18,0.363636364,0.070707071,0.212121212,0.353535354,5,4,0.1,0.2
6,0.25,0.25,0.166666667,0.333333333,2,4,0.1,0.2
10,0.45,0.1,0.2,0.25,3,4,0.1,0.2
13,0.305084746,0.169491525,0.169491525,0.355932203,4,4,0.1,0.2
9,0.181818182,0.212121212,0.333333333,0.272727273,4,4,0.1,0.2
12,0.24137931,0.086206897,0.25862069,0.413793103,3,4,0.1,0.2
15,0.283333333,0.125,0.225,0.366666667,4,4,0.1,0.2
6,0.666666667,0.333333333,0,0,3,4,0.1,0.2
10,0.333333333,0.074074074,0.148148148,0.444444444,4,4,0.1,0.2
6,0.6,0,0.2,0.2,3,4,0.1,0.2
9,0.4,0.08,0.24,0.28,3,4,0.1,0.2
8,0.08,0.2,0.32,0.4,2,4,0.1,0.2
9,0.285714286,0.142857143,0.178571429,0.392857143,3,4,0.1,0.2
8,0.444444444,0,0.222222222,0.333333333,2,4,0.1,0.3
12,0.441176471,0.117647059,0.176470588,0.264705882,4,4,0.1,0.3
6,0.363636364,0.272727273,0.090909091,0.272727273,4,4,0.1,0.3
11,0.285714286,0.114285714,0.228571429,0.371428571,3,4,0.1,0.3
6,0.375,0.25,0.25,0.125,3,4,0.1,0.3
9,0.363636364,0.181818182,0.181818182,0.272727273,3,4,0.1,0.3
9,0.266666667,0.2,0.266666667,0.266666667,2,4,0.1,0.3
3,NA,NA,NA,NA,0,4,0.1,0.3
12,0.314814815,0.222222222,0.12962963,0.333333333,5,4,0.1,0.3
6,0.666666667,0,0.333333333,0,2,4,0.1,0.3
0,NA,NA,NA,NA,-1,4,0.1,0.3
9,0.357142857,0,0.142857143,0.5,2,4,0.1,0.3
7,0.454545455,0.090909091,0.272727273,0.181818182,3,4,0.1,0.3
10,0.333333333,0.055555556,0.166666667,0.444444444,2,4,0.1,0.3
5,0.5,0.25,0,0.25,3,4,0.1,0.3
7,0.571428571,0,0.285714286,0.142857143,2,4,0.1,0.3
6,0.166666667,0.166666667,0.333333333,0.333333333,2,4,0.1,0.3
13,0.377358491,0.056603774,0.20754717,0.358490566,5,4,0.1,0.3
8,0.461538462,0.076923077,0.076923077,0.384615385,2,4,0.1,0.3
14,0.321428571,0.119047619,0.357142857,0.202380952,5,4,0.1,0.3
19,0.333333333,0.152173913,0.195652174,0.31884058,6,4,0.1,0.4
10,0.25,0,0.25,0.5,2,4,0.1,0.4
11,0.348837209,0.186046512,0.23255814,0.23255814,4,4,0.1,0.4
8,0.227272727,0.181818182,0.272727273,0.318181818,3,4,0.1,0.4
11,0.4,0.04,0.2,0.36,4,4,0.1,0.4
19,0.349693252,0.116564417,0.27607362,0.257668712,7,4,0.1,0.4
2,NA,NA,NA,NA,1,4,0.1,0.4
12,0.288461538,0.134615385,0.326923077,0.25,4,4,0.1,0.4
15,0.321100917,0.137614679,0.211009174,0.330275229,5,4,0.1,0.4
14,0.363636364,0.090909091,0.2,0.345454545,4,4,0.1,0.4
14,0.372093023,0.127906977,0.313953488,0.186046512,7,4,0.1,0.4
6,0.333333333,0,0.333333333,0.333333333,2,4,0.1,0.4
15,0.367088608,0.139240506,0.17721519,0.316455696,5,4,0.1,0.4
3,NA,NA,NA,NA,0,4,0.1,0.4
4,0.666666667,0,0.333333333,0,2,4,0.1,0.4
13,0.259259259,0.037037037,0.259259259,0.444444444,3,4,0.1,0.4
8,0.1,0.1,0.3,0.5,2,4,0.1,0.4
5,0,0.2,0.4,0.4,2,4,0.1,0.4
14,0.369863014,0.095890411,0.164383562,0.369863014,4,4,0.1,0.4
13,0.321428571,0.107142857,0.25,0.321428571,4,4,0.1,0.4
16,0.347368421,0.084210526,0.157894737,0.410526316,6,4,0.1,0.5
14,0.385714286,0.085714286,0.214285714,0.314285714,4,4,0.1,0.5
8,0.714285714,0,0.142857143,0.142857143,3,4,0.1,0.5
17,0.323353293,0.137724551,0.215568862,0.323353293,5,4,0.1,0.5
13,0.313432836,0.149253731,0.223880597,0.313432836,5,4,0.1,0.5
15,0.389830508,0.13559322,0.084745763,0.389830508,6,4,0.1,0.5
3,NA,NA,NA,NA,1,4,0.1,0.5
5,0.5,0,0,0.5,2,4,0.1,0.5
9,0.5625,0.0625,0.125,0.25,3,4,0.1,0.5
5,0.5,0,0,0.5,2,4,0.1,0.5
10,0.310344828,0.103448276,0.103448276,0.482758621,3,4,0.1,0.5
20,0.335664336,0.083916084,0.251748252,0.328671329,6,4,0.1,0.5
12,0.377777778,0.066666667,0.2,0.355555556,4,4,0.1,0.5
6,0.375,0.125,0.375,0.125,2,4,0.1,0.5
24,0.305785124,0.1184573,0.217630854,0.358126722,7,4,0.1,0.5
3,0,0,1,0,1,4,0.1,0.5
3,NA,NA,NA,NA,1,4,0.1,0.5
15,0.432692308,0.173076923,0.173076923,0.221153846,6,4,0.1,0.5
15,0.314285714,0.114285714,0.271428571,0.3,4,4,0.1,0.5
6,0.5,0,0.25,0.25,3,4,0.1,0.5
10,0.229166667,0.104166667,0.145833333,0.520833333,4,4,0.1,0.6
14,0.359375,0.140625,0.140625,0.359375,4,4,0.1,0.6
15,0.323529412,0.088235294,0.303921569,0.284313725,4,4,0.1,0.6
8,0.571428571,0,0.142857143,0.285714286,2,4,0.1,0.6
3,0,0,0,1,1,4,0.1,0.6
19,0.280373832,0.135514019,0.186915888,0.397196262,7,4,0.1,0.6
14,0.342857143,0.157142857,0.242857143,0.257142857,6,4,0.1,0.6
15,0.536585366,0.024390244,0.12195122,0.317073171,5,4,0.1,0.6
9,0.333333333,0.222222222,0.111111111,0.333333333,4,4,0.1,0.6
5,NA,NA,NA,NA,1,4,0.1,0.6
18,0.340740741,0.148148148,0.140740741,0.37037037,6,4,0.1,0.6
9,0.526315789,0.105263158,0.157894737,0.210526316,3,4,0.1,0.6
8,0.230769231,0.076923077,0.461538462,0.230769231,2,4,0.1,0.6
12,0.35,0.2,0.1875,0.2625,5,4,0.1,0.6
7,0.333333333,0.166666667,0.333333333,0.166666667,3,4,0.1,0.6
12,0.34375,0.125,0.234375,0.296875,4,4,0.1,0.6
9,0.206896552,0.068965517,0.310344828,0.413793103,3,4,0.1,0.6
15,0.315217391,0.130434783,0.260869565,0.293478261,5,4,0.1,0.6
9,0.6,0.133333333,0.133333333,0.133333333,3,4,0.1,0.6
7,0.555555556,0.111111111,0.111111111,0.222222222,3,4,0.1,0.6
18,0.348387097,0.15483871,0.187096774,0.309677419,6,4,0.1,0.7
14,0.347222222,0.138888889,0.236111111,0.277777778,4,4,0.1,0.7
12,0.357142857,0.071428571,0.178571429,0.392857143,5,4,0.1,0.7
14,0.29245283,0.141509434,0.254716981,0.311320755,5,4,0.1,0.7
16,0.393939394,0.075757576,0.181818182,0.348484848,5,4,0.1,0.7
15,0.336956522,0.108695652,0.282608696,0.27173913,4,4,0.1,0.7
20,0.303664921,0.162303665,0.162303665,0.371727749,7,4,0.1,0.7
13,0.262295082,0.213114754,0.229508197,0.295081967,5,4,0.1,0.7
4,1,0,0,0,2,4,0.1,0.7
17,0.338345865,0.165413534,0.203007519,0.293233083,7,4,0.1,0.7
23,0.311023622,0.094488189,0.283464567,0.311023622,6,4,0.1,0.7
10,0.461538462,0.038461538,0.153846154,0.346153846,4,4,0.1,0.7
10,0.3125,0.09375,0.21875,0.375,4,4,0.1,0.7
20,0.3,0.144,0.272,0.284,7,4,0.1,0.7
14,0.287671233,0.164383562,0.219178082,0.328767123,5,4,0.1,0.7
17,0.4,0.104761905,0.161904762,0.333333333,5,4,0.1,0.7
14,0.5,0.090909091,0.136363636,0.272727273,4,4,0.1,0.7
9,0.4,0,0.2,0.4,2,4,0.1,0.7
10,0.222222222,0.222222222,0.25,0.305555556,3,4,0.1,0.7
10,0.4,0.1,0.15,0.35,3,4,0.1,0.7
16,0.396039604,0.118811881,0.168316832,0.316831683,5,4,0.1,0.8
13,0.385964912,0.105263158,0.192982456,0.315789474,4,4,0.1,0.8
16,0.23853211,0.137614679,0.211009174,0.412844037,5,4,0.1,0.8
14,0.285714286,0.123809524,0.171428571,0.419047619,4,4,0.1,0.8
12,0.289473684,0.105263158,0.289473684,0.315789474,4,4,0.1,0.8
12,0.257142857,0.114285714,0.257142857,0.371428571,3,4,0.1,0.8
9,0.4,0.1,0,0.5,4,4,0.1,0.8
15,0.508196721,0.06557377,0.213114754,0.213114754,5,4,0.1,0.8
12,0.362068966,0.120689655,0.137931034,0.379310345,4,4,0.1,0.8
13,0.3125,0.078125,0.25,0.359375,3,4,0.1,0.8
15,0.308823529,0.147058824,0.227941176,0.316176471,5,4,0.1,0.8
18,0.32,0.104,0.264,0.312,5,4,0.1,0.8
16,0.319672131,0.147540984,0.180327869,0.352459016,5,4,0.1,0.8
14,0.311320755,0.188679245,0.179245283,0.320754717,5,4,0.1,0.8
18,0.394957983,0.109243697,0.210084034,0.285714286,5,4,0.1,0.8
20,0.347150259,0.10880829,0.21761658,0.32642487,5,4,0.1,0.8
10,0.285714286,0.071428571,0.214285714,0.428571429,2,4,0.1,0.8
21,0.304347826,0.092391304,0.239130435,0.364130435,5,4,0.1,0.8
18,0.393617021,0.063829787,0.20212766,0.340425532,3,4,0.1,0.8
15,0.37254902,0.098039216,0.176470588,0.352941176,4,4,0.1,0.8
20,0.274881517,0.132701422,0.222748815,0.369668246,6,4,0.1,0.9
12,0.3,0.133333333,0.2,0.366666667,4,4,0.1,0.9
10,0.388888889,0.111111111,0.222222222,0.277777778,4,4,0.1,0.9
6,0,0.5,0,0.5,2,4,0.1,0.9
13,0.302631579,0.157894737,0.223684211,0.315789474,4,4,0.1,0.9
12,0.302325581,0.11627907,0.069767442,0.511627907,4,4,0.1,0.9
16,0.330434783,0.104347826,0.269565217,0.295652174,5,4,0.1,0.9
15,0.344262295,0.114754098,0.262295082,0.278688525,5,4,0.1,0.9
16,0.328358209,0.164179104,0.298507463,0.208955224,6,4,0.1,0.9
19,0.37745098,0.142156863,0.181372549,0.299019608,7,4,0.1,0.9
15,0.356164384,0.095890411,0.260273973,0.287671233,3,4,0.1,0.9
8,0.4,0.1,0,0.5,3,4,0.1,0.9
17,0.380952381,0.133333333,0.152380952,0.333333333,7,4,0.1,0.9
13,0.276595745,0.14893617,0.170212766,0.404255319,4,4,0.1,0.9
14,0.265625,0.21875,0.21875,0.296875,5,4,0.1,0.9
19,0.294797688,0.098265896,0.242774566,0.36416185,4,4,0.1,0.9
20,0.346153846,0.093406593,0.269230769,0.291208791,6,4,0.1,0.9
17,0.346405229,0.137254902,0.222222222,0.294117647,5,4,0.1,0.9
19,0.313559322,0.084745763,0.254237288,0.347457627,6,4,0.1,0.9
15,0.372093023,0.139534884,0.197674419,0.290697674,5,4,0.1,0.9
0,NA,NA,NA,NA,-1,4,0.2,0.1
2,NA,NA,NA,NA,0,4,0.2,0.1
11,0.244444444,0.2,0.244444444,0.311111111,4,4,0.2,0.1
6,0.1,0.3,0.5,0.1,2,4,0.2,0.1
5,0.333333333,0.333333333,0,0.333333333,3,4,0.2,0.1
3,NA,NA,NA,NA,0,4,0.2,0.1
13,0.351351351,0.108108108,0.189189189,0.351351351,5,4,0.2,0.1
6,0.555555556,0,0.333333333,0.111111111,3,4,0.2,0.1
6,0.166666667,0.333333333,0.333333333,0.166666667,2,4,0.2,0.1
11,0.529411765,0.088235294,0.235294118,0.147058824,4,4,0.2,0.1
8,0.260869565,0.086956522,0.173913043,0.47826087,3,4,0.2,0.1
13,0.396551724,0.086206897,0.24137931,0.275862069,5,4,0.2,0.1
3,NA,NA,NA,NA,1,4,0.2,0.1
3,1,0,0,0,2,4,0.2,0.1
4,NA,NA,NA,NA,1,4,0.2,0.1
2,NA,NA,NA,NA,1,4,0.2,0.1
3,NA,NA,NA,NA,0,4,0.2,0.1
2,NA,NA,NA,NA,1,4,0.2,0.1
12,0.391304348,0.043478261,0.130434783,0.434782609,3,4,0.2,0.1
8,0.266666667,0.2,0.533333333,0,4,4,0.2,0.1
5,0,0.5,0.5,0,2,4,0.2,0.2
13,0.422222222,0.111111111,0.222222222,0.244444444,4,4,0.2,0.2
5,0.333333333,0,0.333333333,0.333333333,2,4,0.2,0.2
9,0.357142857,0.107142857,0.321428571,0.214285714,3,4,0.2,0.2
11,0.173913043,0.239130435,0.239130435,0.347826087,4,4,0.2,0.2
6,0.4,0,0.2,0.4,2,4,0.2,0.2
3,NA,NA,NA,NA,1,4,0.2,0.2
2,NA,NA,NA,NA,1,4,0.2,0.2
3,1,0,0,0,2,4,0.2,0.2
6,0.4,0.2,0.2,0.2,3,4,0.2,0.2
8,0.238095238,0.047619048,0.285714286,0.428571429,2,4,0.2,0.2
5,0.75,0,0,0.25,3,4,0.2,0.2
0,NA,NA,NA,NA,-1,4,0.2,0.2
11,0.25,0.111111111,0.277777778,0.361111111,3,4,0.2,0.2
8,0.625,0,0,0.375,3,4,0.2,0.2
8,0.25,0.125,0.25,0.375,2,4,0.2,0.2
11,0.285714286,0.171428571,0.114285714,0.428571429,3,4,0.2,0.2
13,0.322033898,0.118644068,0.186440678,0.372881356,4,4,0.2,0.2
10,0.428571429,0.107142857,0.25,0.214285714,4,4,0.2,0.2
17,0.308333333,0.1,0.241666667,0.35,5,4,0.2,0.2
10,0.228571429,0.142857143,0.314285714,0.314285714,2,4,0.2,0.3
7,0.2,0,0.2,0.6,2,4,0.2,0.3
5,0.2,0.2,0.6,0,2,4,0.2,0.3
6,0.363636364,0.272727273,0.181818182,0.181818182,3,4,0.2,0.3
7,0.428571429,0.071428571,0.285714286,0.214285714,3,4,0.2,0.3
8,0.272727273,0.272727273,0,0.454545455,3,4,0.2,0.3
6,0.2,0,0.2,0.6,2,4,0.2,0.3
3,NA,NA,NA,NA,0,4,0.2,0.3
17,0.319327731,0.12605042,0.176470588,0.378151261,5,4,0.2,0.3
2,NA,NA,NA,NA,0,4,0.2,0.3
6,0,0,0.5,0.5,1,4,0.2,0.3
0,NA,NA,NA,NA,-1,4,0.2,0.3
4,0.333333333,0.333333333,0,0.333333333,2,4,0.2,0.3
6,0.25,0.5,0,0.25,3,4,0.2,0.3
6,0.5,0,0.25,0.25,2,4,0.2,0.3
9,0.454545455,0.227272727,0.181818182,0.136363636,5,4,0.2,0.3
13,0.413333333,0.133333333,0.213333333,0.24,5,4,0.2,0.3
