Richness,Chain,Omnivory,Apparent,Exploitative,FCL,Resource,Disturbance,Ecosystem
12,0.416666667,0.041666667,0.25,0.291666667,2.5,4,0.1,0.1
7,0.25,0.083333333,0.166666667,0.5,2,4,0.1,0.1
6,0.25,0,0.25,0.5,2,4,0.1,0.1
12,0.25,0.111111111,0.333333333,0.305555556,3,4,0.1,0.1
11,0.318181818,0.090909091,0.181818182,0.409090909,2.5,4,0.1,0.1
6,0.222222222,0.111111111,0.111111111,0.555555556,2,4,0.1,0.1
6,0.571428571,0,0.285714286,0.142857143,2.5,4,0.1,0.1
5,0.5,0,0.25,0.25,2,4,0.1,0.1
9,0.375,0.125,0.0625,0.4375,3,4,0.1,0.1
13,0.362068966,0.137931034,0.206896552,0.293103448,3.34375,4,0.1,0.1
10,0.323529412,0.147058824,0.264705882,0.264705882,3.333333333,4,0.1,0.1
8,0.307692308,0.076923077,0.307692308,0.307692308,2,4,0.1,0.1
8,0.210526316,0.105263158,0.315789474,0.368421053,1.5,4,0.1,0.1
13,0.357142857,0.035714286,0.178571429,0.428571429,2.75,4,0.1,0.1
6,0.125,0.5,0.1875,0.1875,1.666666667,4,0.1,0.1
2,NA,NA,NA,NA,0,4,0.1,0.1
5,0.333333333,0.166666667,0.5,0,1.5,4,0.1,0.1
4,0,0.333333333,0,0.666666667,1.5,4,0.1,0.1
5,0,0,0,1,1,4,0.1,0.1
8,0.368421053,0.157894737,0.263157895,0.210526316,3.25,4,0.1,0.1
8,0.533333333,0,0.133333333,0.333333333,3.5,4,0.1,0.2
10,0.358974359,0.153846154,0.333333333,0.153846154,3.40625,4,0.1,0.2
10,0.346153846,0.153846154,0.076923077,0.423076923,3,4,0.1,0.2
14,0.449275362,0.130434783,0.217391304,0.202898551,4.03125,4,0.1,0.2
9,0.242424242,0.121212121,0.181818182,0.454545455,2.333333333,4,0.1,0.2
9,0.125,0.125,0.3125,0.4375,2,4,0.1,0.2
6,0,0.333333333,0.333333333,0.333333333,1.333333333,4,0.1,0.2
9,0.375,0.208333333,0.166666667,0.25,3.5,4,0.1,0.2
6,0.545454545,0.272727273,0.181818182,0,2.666666667,4,0.1,0.2
3,1,0,0,0,2,4,0.1,0.2
9,0.379310345,0.206896552,0.137931034,0.275862069,3,4,0.1,0.2
7,0.4,0.133333333,0.066666667,0.4,2.75,4,0.1,0.2
5,0.333333333,0,0.333333333,0.333333333,2,4,0.1,0.2
9,0.260869565,0.260869565,0.130434783,0.347826087,2,4,0.1,0.2
7,0.272727273,0,0.090909091,0.636363636,3,4,0.1,0.2
6,0.181818182,0.363636364,0.454545455,0,1.75,4,0.1,0.2
7,0.333333333,0,0.333333333,0.333333333,2,4,0.1,0.2
14,0.402777778,0.125,0.222222222,0.25,3.75,4,0.1,0.2
2,NA,NA,NA,NA,1,4,0.1,0.2
10,0.419354839,0.032258065,0.290322581,0.258064516,3.5,4,0.1,0.2
8,0.25,0.25,0.285714286,0.214285714,2.479166667,4,0.1,0.3
3,NA,NA,NA,NA,1,4,0.1,0.3
10,0.176470588,0.176470588,0.235294118,0.411764706,2,4,0.1,0.3
13,0.428571429,0.081632653,0.306122449,0.183673469,3.5,4,0.1,0.3
13,0.31372549,0.117647059,0.254901961,0.31372549,3,4,0.1,0.3
0,NA,NA,NA,NA,-1,4,0.1,0.3
11,0.41025641,0.153846154,0.205128205,0.230769231,3,4,0.1,0.3
11,0.35483871,0.129032258,0.193548387,0.322580645,2.833333333,4,0.1,0.3
7,0.6,0,0,0.4,3,4,0.1,0.3
4,0,0.333333333,0.666666667,0,1.333333333,4,0.1,0.3
9,0.307692308,0.076923077,0.076923077,0.538461538,2,4,0.1,0.3
9,0.451612903,0.258064516,0.161290323,0.129032258,2.833333333,4,0.1,0.3
6,0.4,0.2,0.2,0.2,1.75,4,0.1,0.3
12,0.34,0.2,0.2,0.26,2.609375,4,0.1,0.3
13,0.272727273,0.090909091,0.272727273,0.363636364,3.5,4,0.1,0.3
3,0,0,1,0,1,4,0.1,0.3
5,NA,NA,NA,NA,1,4,0.1,0.3
13,0.368421053,0.087719298,0.280701754,0.263157895,3.5,4,0.1,0.3
10,0.326086957,0.173913043,0.239130435,0.260869565,2.614583333,4,0.1,0.3
7,0.363636364,0.181818182,0.090909091,0.363636364,3.5,4,0.1,0.3
7,0.285714286,0.142857143,0.142857143,0.428571429,2,4,0.1,0.4
13,0.333333333,0.03030303,0.272727273,0.363636364,2.5,4,0.1,0.4
11,0.358974359,0.102564103,0.333333333,0.205128205,2.466666667,4,0.1,0.4
9,0.555555556,0,0.111111111,0.333333333,3,4,0.1,0.4
10,0.444444444,0,0.333333333,0.222222222,3,4,0.1,0.4
8,0.125,0.125,0.25,0.5,1.5,4,0.1,0.4
9,0.5,0.133333333,0.2,0.166666667,3.111111111,4,0.1,0.4
10,0.369565217,0.239130435,0.217391304,0.173913043,3.25,4,0.1,0.4
11,0.35,0,0.35,0.3,3.333333333,4,0.1,0.4
3,0,0,0,1,1,4,0.1,0.4
6,0.6,0.2,0.2,0,3,4,0.1,0.4
10,0.473684211,0.157894737,0.105263158,0.263157895,4,4,0.1,0.4
15,0.442622951,0.139344262,0.213114754,0.204918033,3.916666667,4,0.1,0.4
9,0.15,0.25,0.3,0.3,1.75,4,0.1,0.4
9,0.363636364,0,0.363636364,0.272727273,2,4,0.1,0.4
5,0.222222222,0.555555556,0.111111111,0.111111111,2,4,0.1,0.4
13,0.352941176,0.176470588,0.274509804,0.196078431,4.25,4,0.1,0.4
11,0.541666667,0.083333333,0.125,0.25,3.625,4,0.1,0.4
4,0,0,0,1,1,4,0.1,0.4
3,1,0,0,0,2,4,0.1,0.4
18,0.34375,0.083333333,0.21875,0.354166667,2.942708333,4,0.1,0.5
11,0.27027027,0.081081081,0.297297297,0.351351351,2.166666667,4,0.1,0.5
11,0.348837209,0.139534884,0.255813953,0.255813953,3.666666667,4,0.1,0.5
8,0.272727273,0.181818182,0.454545455,0.090909091,1.444444444,4,0.1,0.5
8,0.1,0.1,0.3,0.5,2,4,0.1,0.5
7,0.2,0.2,0.1,0.5,1.5,4,0.1,0.5
12,0.473684211,0,0.105263158,0.421052632,3,4,0.1,0.5
9,0.333333333,0.111111111,0.222222222,0.333333333,3,4,0.1,0.5
8,0.466666667,0.133333333,0.266666667,0.133333333,2.5,4,0.1,0.5
9,0.363636364,0.272727273,0.151515152,0.212121212,2.736111111,4,0.1,0.5
2,NA,NA,NA,NA,0,4,0.1,0.5
16,0.395604396,0.153846154,0.186813187,0.263736264,3.3,4,0.1,0.5
5,1,0,0,0,2,4,0.1,0.5
15,0.272727273,0.106060606,0.348484848,0.272727273,2.5,4,0.1,0.5
12,0.29787234,0.127659574,0.319148936,0.255319149,3,4,0.1,0.5
12,0.295454545,0.090909091,0.340909091,0.272727273,2.444444444,4,0.1,0.5
7,0.375,0,0.25,0.375,2,4,0.1,0.5
5,0.25,0.25,0,0.5,2,4,0.1,0.5
4,1,0,0,0,2,4,0.1,0.5
17,0.384615385,0.131868132,0.252747253,0.230769231,3.35,4,0.1,0.5
11,0.315789474,0.105263158,0.210526316,0.368421053,2.25,4,0.1,0.6
9,0.382352941,0.235294118,0.147058824,0.235294118,3.486111111,4,0.1,0.6
17,0.380165289,0.132231405,0.26446281,0.223140496,3.72875,4,0.1,0.6
5,0.75,0.25,0,0,3.5,4,0.1,0.6
8,0.263157895,0.052631579,0.368421053,0.315789474,1.833333333,4,0.1,0.6
4,0,0,1,0,1,4,0.1,0.6
13,0.277108434,0.180722892,0.301204819,0.240963855,3.008333333,4,0.1,0.6
13,0.277777778,0.148148148,0.351851852,0.222222222,3.333333333,4,0.1,0.6
6,0.75,0,0,0.25,4,4,0.1,0.6
13,0.444444444,0.074074074,0.259259259,0.222222222,3.75,4,0.1,0.6
8,0.421052632,0.157894737,0.315789474,0.105263158,3.333333333,4,0.1,0.6
10,0.407407407,0.074074074,0.185185185,0.333333333,2.75,4,0.1,0.6
4,0,0,0.5,0.5,1,4,0.1,0.6
7,0.3,0.1,0.4,0.2,1.5,4,0.1,0.6
7,0.363636364,0.090909091,0.272727273,0.272727273,2.333333333,4,0.1,0.6
3,NA,NA,NA,NA,1,4,0.1,0.6
8,0.388888889,0.222222222,0.222222222,0.166666667,2.277777778,4,0.1,0.6
13,0.375,0.041666667,0.270833333,0.3125,2.75,4,0.1,0.6
12,0.340909091,0.136363636,0.25,0.272727273,3.5,4,0.1,0.6
6,0.142857143,0.214285714,0.214285714,0.428571429,1.666666667,4,0.1,0.6
10,0.52173913,0.086956522,0.086956522,0.304347826,4,4,0.1,0.7
9,0.421052632,0.052631579,0.263157895,0.263157895,2.25,4,0.1,0.7
2,NA,NA,NA,NA,1,4,0.1,0.7
3,0,0,1,0,1,4,0.1,0.7
15,0.4,0.166666667,0.222222222,0.211111111,4.114583333,4,0.1,0.7
10,0.324324324,0.216216216,0.216216216,0.243243243,2.625,4,0.1,0.7
16,0.337349398,0.120481928,0.337349398,0.204819277,3.422222222,4,0.1,0.7
6,0.166666667,0.166666667,0.583333333,0.083333333,1.333333333,4,0.1,0.7
13,0.294117647,0.117647059,0.235294118,0.352941176,2.75,4,0.1,0.7
7,0.583333333,0,0.166666667,0.25,3,4,0.1,0.7
8,0.5,0,0.166666667,0.333333333,3,4,0.1,0.7
14,0.283950617,0.135802469,0.283950617,0.296296296,2.25,4,0.1,0.7
12,0.461538462,0.153846154,0.230769231,0.153846154,3.5625,4,0.1,0.7
15,0.350877193,0.122807018,0.263157895,0.263157895,2.416666667,4,0.1,0.7
18,0.328571429,0.157142857,0.342857143,0.171428571,4,4,0.1,0.7
12,0.5,0.184210526,0.131578947,0.184210526,3.805555556,4,0.1,0.7
19,0.375,0.151315789,0.296052632,0.177631579,3.619047619,4,0.1,0.7
9,0.142857143,0.142857143,0.333333333,0.380952381,1.666666667,4,0.1,0.7
11,0.323529412,0.117647059,0.294117647,0.264705882,2.75,4,0.1,0.7
9,0.625,0.125,0.125,0.125,4,4,0.1,0.7
15,0.322580645,0.112903226,0.274193548,0.290322581,3.25,4,0.1,0.8
16,0.40776699,0.165048544,0.194174757,0.233009709,3.472222222,4,0.1,0.8
13,0.352941176,0.191176471,0.220588235,0.235294118,4.375,4,0.1,0.8
15,0.367346939,0.163265306,0.255102041,0.214285714,2.888888889,4,0.1,0.8
17,0.363013699,0.191780822,0.315068493,0.130136986,4.625,4,0.1,0.8
18,0.381355932,0.13559322,0.245762712,0.237288136,3.3125,4,0.1,0.8
15,0.367816092,0.08045977,0.287356322,0.264367816,3.711805556,4,0.1,0.8
10,0.272727273,0.181818182,0.272727273,0.272727273,3,4,0.1,0.8
20,0.340909091,0.164772727,0.255681818,0.238636364,3.875,4,0.1,0.8
17,0.369747899,0.117647059,0.25210084,0.260504202,3.388888889,4,0.1,0.8
12,0.314814815,0.092592593,0.296296296,0.296296296,3.333333333,4,0.1,0.8
8,0.272727273,0.090909091,0.090909091,0.545454545,2.5,4,0.1,0.8
22,0.35,0.1375,0.3375,0.175,4.416666667,4,0.1,0.8
14,0.306122449,0.142857143,0.285714286,0.265306122,3,4,0.1,0.8
14,0.44,0.06,0.26,0.24,3.444444444,4,0.1,0.8
17,0.363013699,0.130136986,0.315068493,0.191780822,3.1,4,0.1,0.8
7,0.142857143,0.142857143,0.5,0.214285714,1.333333333,4,0.1,0.8
8,0.238095238,0.238095238,0.19047619,0.333333333,2.111111111,4,0.1,0.8
19,0.434108527,0.15503876,0.19379845,0.217054264,4.4775,4,0.1,0.8
13,0.370967742,0.129032258,0.225806452,0.274193548,2.666666667,4,0.1,0.8
13,0.396825397,0.047619048,0.253968254,0.301587302,3.148148148,4,0.1,0.9
11,0.214285714,0.178571429,0.321428571,0.285714286,3,4,0.1,0.9
14,0.338983051,0.13559322,0.237288136,0.288135593,3,4,0.1,0.9
14,0.24137931,0.172413793,0.362068966,0.224137931,3,4,0.1,0.9
16,0.318181818,0.102272727,0.261363636,0.318181818,3.40625,4,0.1,0.9
19,0.357575758,0.139393939,0.260606061,0.242424242,3.361111111,4,0.1,0.9
17,0.353658537,0.109756098,0.231707317,0.304878049,2.638888889,4,0.1,0.9
21,0.273743017,0.106145251,0.351955307,0.268156425,3.833333333,4,0.1,0.9
15,0.398058252,0.194174757,0.242718447,0.165048544,4.347222222,4,0.1,0.9
9,0.333333333,0.266666667,0.266666667,0.133333333,2.5,4,0.1,0.9
5,0,0.571428571,0,0.428571429,1.833333333,4,0.1,0.9
13,0.26984127,0.158730159,0.285714286,0.285714286,2.216666667,4,0.1,0.9
9,0.176470588,0.117647059,0.470588235,0.235294118,2,4,0.1,0.9
17,0.35915493,0.147887324,0.274647887,0.218309859,4.166666667,4,0.1,0.9
18,0.387096774,0.064516129,0.279569892,0.268817204,3.75,4,0.1,0.9
21,0.401360544,0.074829932,0.217687075,0.306122449,3.791666667,4,0.1,0.9
17,0.344444444,0.1,0.344444444,0.211111111,3.666666667,4,0.1,0.9
13,0.324675325,0.12987013,0.25974026,0.285714286,2.583333333,4,0.1,0.9
19,0.318181818,0.072727273,0.281818182,0.327272727,3.0625,4,0.1,0.9
19,0.373239437,0.105633803,0.288732394,0.232394366,3.781111111,4,0.1,0.9
11,0.333333333,0.03030303,0.181818182,0.454545455,3,4,0.2,0.1
9,0.1875,0.125,0.3125,0.375,1.777777778,4,0.2,0.1
0,NA,NA,NA,NA,-1,4,0.2,0.1
8,0.260869565,0.086956522,0.391304348,0.260869565,1.791666667,4,0.2,0.1
7,0.2,0.3,0.1,0.4,1.5,4,0.2,0.1
6,0,0,0.6,0.4,1,4,0.2,0.1
5,0.285714286,0.285714286,0.285714286,0.142857143,1.666666667,4,0.2,0.1
3,0,0,0,1,1,4,0.2,0.1
9,0.428571429,0,0.357142857,0.214285714,2.333333333,4,0.2,0.1
5,0.25,0.25,0.25,0.25,1.5,4,0.2,0.1
10,0.365384615,0.25,0.25,0.134615385,2.766666667,4,0.2,0.1
3,0,0,0,1,1,4,0.2,0.1
6,0.428571429,0.142857143,0.142857143,0.285714286,2,4,0.2,0.1
5,0.571428571,0.142857143,0.142857143,0.142857143,2.5,4,0.2,0.1
7,0.222222222,0,0.111111111,0.666666667,2,4,0.2,0.1
10,0.416666667,0.125,0.208333333,0.25,2.444444444,4,0.2,0.1
1,NA,NA,NA,NA,0,4,0.2,0.1
7,0.545454545,0.272727273,0.181818182,0,3.166666667,4,0.2,0.1
11,0.325581395,0.139534884,0.209302326,0.325581395,2.75,4,0.2,0.1
10,0.434782609,0.130434783,0.173913043,0.260869565,3.416666667,4,0.2,0.1
11,0.297297297,0.135135135,0.27027027,0.297297297,2.145833333,4,0.2,0.2
7,0.25,0,0,0.75,2,4,0.2,0.2
10,0.318181818,0.090909091,0.272727273,0.318181818,3.5,4,0.2,0.2
11,0.470588235,0.117647059,0.294117647,0.117647059,3.875,4,0.2,0.2
12,0.545454545,0.136363636,0.136363636,0.181818182,4.416666667,4,0.2,0.2
8,0.4,0,0.133333333,0.466666667,3,4,0.2,0.2
3,NA,NA,NA,NA,1,4,0.2,0.2
7,0.2,0.2,0.1,0.5,1.5,4,0.2,0.2
9,0.481481481,0.111111111,0.296296296,0.111111111,2.6875,4,0.2,0.2
11,0.285714286,0.19047619,0.214285714,0.30952381,2.5,4,0.2,0.2
4,0,0,0,1,1,4,0.2,0.2
7,0.4,0.2,0.266666667,0.133333333,3,4,0.2,0.2
9,0.25,0.214285714,0.25,0.285714286,3.375,4,0.2,0.2
8,0.6,0.066666667,0.133333333,0.2,3.5,4,0.2,0.2
4,0.5,0,0,0.5,2,4,0.2,0.2
10,0.32,0.04,0.4,0.24,3,4,0.2,0.2
4,0.5,0,0,0.5,2,4,0.2,0.2
10,0.363636364,0.090909091,0.272727273,0.272727273,3.5,4,0.2,0.2
13,0.317073171,0.073170732,0.43902439,0.170731707,3.5,4,0.2,0.2
11,0.435897436,0.128205128,0.256410256,0.179487179,3,4,0.2,0.2
3,NA,NA,NA,NA,1,4,0.2,0.3
2,NA,NA,NA,NA,1,4,0.2,0.3
13,0.365853659,0.073170732,0.341463415,0.219512195,3.125,4,0.2,0.3
9,0.294117647,0.117647059,0.176470588,0.411764706,2,4,0.2,0.3
11,0.305555556,0.277777778,0.222222222,0.194444444,2.28125,4,0.2,0.3
9,0.285714286,0.071428571,0.142857143,0.5,2.5,4,0.2,0.3
9,0.4,0.1,0.25,0.25,3,4,0.2,0.3
9,0.352941176,0.352941176,0.117647059,0.176470588,3.388888889,4,0.2,0.3
11,0.428571429,0.047619048,0.285714286,0.238095238,3.333333333,4,0.2,0.3
15,0.387096774,0.150537634,0.23655914,0.225806452,3.728395062,4,0.2,0.3
9,0.333333333,0,0.277777778,0.388888889,2.333333333,4,0.2,0.3
8,0.6,0.1,0.1,0.2,2.5,4,0.2,0.3
4,0.333333333,0.333333333,0.333333333,0,1.5,4,0.2,0.3
12,0.379310345,0,0.24137931,0.379310345,2.75,4,0.2,0.3
0,NA,NA,NA,NA,-1,4,0.2,0.3
10,0.484848485,0.242424242,0.121212121,0.151515152,3.75,4,0.2,0.3
3,0,0,1,0,1,4,0.2,0.3
4,0,0,0.5,0.5,1,4,0.2,0.3
2,NA,NA,NA,NA,1,4,0.2,0.3
9,0.230769231,0.230769231,0.153846154,0.384615385,2.194444444,4,0.2,0.3
3,0,1,0,0,1.5,4,0.2,0.4
4,0,0,0,1,1,4,0.2,0.4
8,0.5,0,0.2,0.3,2.5,4,0.2,0.4
12,0.5,0.055555556,0.055555556,0.388888889,3.75,4,0.2,0.4
0,NA,NA,NA,NA,-1,4,0.2,0.4
5,0.666666667,0,0,0.333333333,3,4,0.2,0.4
7,0.1,0.1,0.2,0.6,1.5,4,0.2,0.4
14,0.307692308,0.166666667,0.282051282,0.243589744,3.166666667,4,0.2,0.4
6,0,0,0,1,1,4,0.2,0.4
12,0.4,0.033333333,0.233333333,0.333333333,2.5,4,0.2,0.4
2,NA,NA,NA,NA,1,4,0.2,0.4
11,0.26,0.14,0.22,0.38,3,4,0.2,0.4
8,0.5,0,0.25,0.25,2,4,0.2,0.4
13,0.402777778,0.180555556,0.194444444,0.222222222,4.791666667,4,0.2,0.4
8,0.076923077,0.076923077,0.384615385,0.461538462,1.333333333,4,0.2,0.4
2,NA,NA,NA,NA,1,4,0.2,0.4
3,0,1,0,0,1.5,4,0.2,0.4
10,0.5,0,0.2,0.3,2,4,0.2,0.4
7,0.428571429,0.285714286,0,0.285714286,2.25,4,0.2,0.4
9,0.315789474,0.105263158,0.421052632,0.157894737,2.25,4,0.2,0.4
8,0.25,0.2,0.3,0.25,2.166666667,4,0.2,0.5
9,0.24,0.08,0.28,0.4,2.5,4,0.2,0.5
9,0.428571429,0,0.285714286,0.285714286,4,4,0.2,0.5
3,0,0,0,1,1,4,0.2,0.5
6,0.285714286,0.142857143,0.428571429,0.142857143,1.5,4,0.2,0.5
10,0.423076923,0,0.230769231,0.346153846,3,4,0.2,0.5
6,0.666666667,0.166666667,0.166666667,0,3.5,4,0.2,0.5
11,0.5,0.111111111,0.166666667,0.222222222,3,4,0.2,0.5
14,0.333333333,0.136363636,0.212121212,0.318181818,2.844444444,4,0.2,0.5
