Richness,Chain,Omnivory,Apparent,Exploitative,FCL,Resource,Disturbance,Ecosystem
11,0.357142857,0.178571429,0.285714286,0.178571429,2,4,0.1,0.1
8,0.125,0.1875,0.1875,0.5,2,4,0.1,0.1
2,NA,NA,NA,NA,1,4,0.1,0.1
10,0.296296296,0.111111111,0.37037037,0.222222222,2,4,0.1,0.1
14,0.277777778,0.092592593,0.333333333,0.296296296,2,4,0.1,0.1
12,0.257142857,0.114285714,0.314285714,0.314285714,2,4,0.1,0.1
14,0.264957265,0.179487179,0.273504274,0.282051282,2,4,0.1,0.1
4,NA,NA,NA,NA,1,4,0.1,0.1
5,0,1,0,0,1,4,0.1,0.1
13,0.425,0.1,0.175,0.3,2,4,0.1,0.1
8,0.130434783,0.260869565,0.260869565,0.347826087,1,4,0.1,0.1
5,0.75,0,0.25,0,2,4,0.1,0.1
3,1,0,0,0,2,4,0.1,0.1
8,0.470588235,0.176470588,0.058823529,0.294117647,3,4,0.1,0.1
18,0.391534392,0.148148148,0.238095238,0.222222222,3,4,0.1,0.1
16,0.348148148,0.155555556,0.251851852,0.244444444,3,4,0.1,0.1
14,0.359550562,0.157303371,0.247191011,0.235955056,2,4,0.1,0.1
1,NA,NA,NA,NA,0,4,0.1,0.1
12,0.296296296,0.222222222,0.240740741,0.240740741,3,4,0.1,0.1
12,0.431818182,0.068181818,0.272727273,0.227272727,3,4,0.1,0.1
9,0.255319149,0.29787234,0.127659574,0.319148936,2,4,0.1,0.2
15,0.295081967,0.147540984,0.295081967,0.262295082,2,4,0.1,0.2
14,0.313131313,0.212121212,0.282828283,0.191919192,3,4,0.1,0.2
16,0.360824742,0.12371134,0.257731959,0.257731959,3,4,0.1,0.2
13,0.387096774,0.096774194,0.290322581,0.225806452,2,4,0.1,0.2
3,NA,NA,NA,NA,1,4,0.1,0.2
8,0.333333333,0.083333333,0.333333333,0.25,1,4,0.1,0.2
17,0.313953488,0.156976744,0.284883721,0.244186047,3,4,0.1,0.2
1,NA,NA,NA,NA,0,4,0.1,0.2
8,0.428571429,0.142857143,0.19047619,0.238095238,3,4,0.1,0.2
11,0.318181818,0.196969697,0.287878788,0.196969697,2,4,0.1,0.2
16,0.219512195,0.201219512,0.31097561,0.268292683,3,4,0.1,0.2
10,0.344827586,0.172413793,0.172413793,0.310344828,3,4,0.1,0.2
12,0.376344086,0.172043011,0.204301075,0.247311828,3,4,0.1,0.2
2,NA,NA,NA,NA,1,4,0.1,0.2
14,0.464285714,0.107142857,0.214285714,0.214285714,2,4,0.1,0.2
7,0.25,0,0.25,0.5,2,4,0.1,0.2
11,0.333333333,0.228070175,0.140350877,0.298245614,2,4,0.1,0.2
11,0.366197183,0.126760563,0.267605634,0.23943662,2,4,0.1,0.2
9,0.275862069,0.172413793,0.310344828,0.24137931,3,4,0.1,0.2
15,0.25984252,0.181102362,0.307086614,0.251968504,3,4,0.1,0.3
