"WEB_id","Ecosystem","FCL_short","FCL_mean","FCL_long","richness","empty","monoA.single","bi.single","s5","s4","s1","d4","d3","s2","s3","d8","d2","d1","d5","d7","d6"
1,"freshwater",2,2.41666666666667,4,9,10,26,0,13,12,19,0,0,4,0,0,0,0,0,0,0
2,"estuary",2,2.6875,3,15,199,174,0,29,26,27,0,0,0,0,0,0,0,0,0,0
3,"wetland",2,2.55555555555556,3,24,1355,592,0,28,16,31,0,0,2,0,0,0,0,0,0,0
4,"wetland",2,2.7037037037037,4,13,81,134,0,24,18,19,0,0,10,0,0,0,0,0,0,0
5,"wetland",2,2,2,7,13,14,0,1,3,4,0,0,0,0,0,0,0,0,0,0
6,"wetland",4,4.1875,6,25,1434,723,0,58,33,49,0,0,3,0,0,0,0,0,0,0
7,"marine",3,3.16666666666667,4,20,638,395,0,37,29,38,0,0,3,0,0,0,0,0,0,0
8,"wetland",2,2.66666666666667,4,15,204,184,0,22,18,20,0,0,7,0,0,0,0,0,0,0
9,"freshwater",2,2.8,3,10,34,48,0,10,11,13,0,0,4,0,0,0,0,0,0,0
10,"marine",2,2,2,5,1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0
11,"marine",2,2,2,8,13,26,0,3,8,6,0,0,0,0,0,0,0,0,0,0
12,"marine",2,2.14285714285714,3,13,89,112,0,18,42,21,0,0,4,0,0,0,0,0,0,0
13,"marine",2,2.25,3,13,80,103,0,17,52,24,0,0,10,0,0,0,0,0,0,0
14,"wetland",2,2.83333333333333,3,8,13,27,0,6,3,6,0,0,1,0,0,0,0,0,0,0
15,"wetland",2,2.25,3,9,29,33,0,10,6,6,0,0,0,0,0,0,0,0,0,0
16,"estuary",2,2.66666666666667,3,14,170,148,0,16,14,16,0,0,0,0,0,0,0,0,0,0
17,"marine",3,3.4,5,14,158,146,0,3,23,24,0,0,10,0,0,0,0,0,0,0
18,"island",2,2.75,4,27,2048,735,0,41,69,26,0,0,6,0,0,0,0,0,0,0
19,"freshwater",3,3.1,4,17,313,261,0,35,32,32,0,0,7,0,0,0,0,0,0,0
20,"marine",3,3.22222222222222,5,19,535,366,0,22,11,27,0,0,8,0,0,0,0,0,0,0
21,"marine",2,3.64583333333333,NA,10,29,40,0,3,3,21,2,4,16,0,0,1,1,0,0,0
22,"island",2,2.84639756944444,7,28,1995,1059,0,59,64,68,0,0,31,0,0,0,0,0,0,0
23,"grassland",2,2.75,4,15,189,190,0,40,10,17,0,0,9,0,0,0,0,0,0,0
24,"forest",3,3,NA,11,83,65,0,6,7,4,0,0,0,0,0,0,0,0,0,0
25,"mountain",3,3.16666666666667,4,25,1527,651,0,61,32,27,0,0,2,0,0,0,0,0,0,0
26,"forest",3,3.83333333333333,6,34,4296,1468,0,66,83,59,0,0,12,0,0,0,0,0,0,0
27,"forest",3,3,4,22,887,537,0,29,31,45,0,0,11,0,0,0,0,0,0,0
28,"grassland",3,3,3,45,12213,1849,0,88,10,28,0,0,2,0,0,0,0,0,0,0
29,"marine",3,3.7,5,22,962,463,0,47,24,37,0,0,7,0,0,0,0,0,0,0
30,"marine",3,4.24242424242424,NA,14,105,163,4,17,13,38,1,2,16,0,0,2,3,0,0,0
31,"marine",2,2.79405381944444,6,14,40,88,0,60,62,62,0,0,52,0,0,0,0,0,0,0
32,"marine",2,2.72823660714286,6,14,37,85,0,60,65,62,0,0,55,0,0,0,0,0,0,0
33,"freshwater",3,3.25,4,33,4087,1138,0,169,31,19,0,0,12,0,0,0,0,0,0,0
34,"freshwater",2,2.26666666666667,4,12,49,83,0,18,28,31,0,0,11,0,0,0,0,0,0,0
35,"freshwater",2,2.45,4,13,51,96,0,47,27,43,0,0,22,0,0,0,0,0,0,0
36,"wetland",2,2.725,4,22,927,473,0,67,44,22,0,0,7,0,0,0,0,0,0,0
37,"marine",3,3.25,4,25,1395,742,0,82,28,40,0,0,13,0,0,0,0,0,0,0
38,"freshwater",2,2.33333333333333,3,31,2464,1395,0,399,142,36,0,0,59,0,0,0,0,0,0,0
39,"freshwater",3,3,3,37,5524,1879,0,202,115,38,0,0,12,0,0,0,0,0,0,0
40,"forest",2,2.25,3,11,66,67,0,15,4,9,0,0,4,0,0,0,0,0,0,0
41,"marine",3,5.02893518518518,8,19,340,408,0,38,48,101,0,0,34,0,0,0,0,0,0,0
42,"marine",2,3.22638888888889,8,16,148,246,0,20,44,64,0,0,38,0,0,0,0,0,0,0
43,"marine",2,2.85,5,21,695,498,0,42,32,56,0,0,7,0,0,0,0,0,0,0
44,"freshwater",2,2.921875,5,12,44,83,0,20,26,26,0,0,21,0,0,0,0,0,0,0
45,"freshwater",2,2.15,3,11,46,64,0,25,14,10,0,0,6,0,0,0,0,0,0,0
46,"freshwater",2,2.97038571428571,8,19,248,391,0,36,130,59,0,0,105,0,0,0,0,0,0,0
47,"wetland",4,4.6625,5,27,1849,906,0,51,42,73,0,0,4,0,0,0,0,0,0,0
48,"marine",3,3.62962962962963,5,13,113,129,0,8,11,22,0,0,3,0,0,0,0,0,0,0
49,"marine",2,2.5,4,12,73,98,0,9,19,17,0,0,4,0,0,0,0,0,0,0
50,"beach",2,2.5,3,14,148,158,0,22,16,18,0,0,2,0,0,0,0,0,0,0
51,"marine",2,3,5,25,1411,731,0,34,66,47,0,0,11,0,0,0,0,0,0,0
52,"marine",2,2.25,3,22,953,477,0,62,21,24,0,0,3,0,0,0,0,0,0,0
53,"marine",2,2,2,22,1006,448,0,42,25,19,0,0,0,0,0,0,0,0,0,0
54,"marine",2,2.46527777777778,4,15,222,181,0,15,18,18,0,0,1,0,0,0,0,0,0,0
55,"estuary",3,3,3,12,86,88,0,20,9,17,0,0,0,0,0,0,0,0,0,0
56,"estuary",2,2.33333333333333,3,12,96,90,0,16,5,11,0,0,2,0,0,0,0,0,0,0
57,"freshwater",2,2.66666666666667,5,9,9,32,0,3,9,16,0,0,15,0,0,0,0,0,0,0
58,"wetland",3,3.5,7,18,508,269,0,5,6,23,0,0,5,0,0,0,0,0,0,0
59,"forest",2,2.5,4,30,2509,1261,0,124,95,64,0,0,7,0,0,0,0,0,0,0
60,"forest",2,2.875,3,33,3604,1568,0,126,65,90,0,0,3,0,0,0,0,0,0,0
61,"desert",2,2.33333333333333,3,9,26,42,0,7,3,3,0,0,3,0,0,0,0,0,0,0
62,"grassland",3,3.25,4,12,114,83,0,6,6,10,0,0,1,0,0,0,0,0,0,0
63,"freshwater",2,2.35984848484848,4,18,121,274,0,100,142,95,0,0,84,0,0,0,0,0,0,0
64,"freshwater",2,2,2,19,584,295,0,59,17,13,0,0,1,0,0,0,0,0,0,0
65,"freshwater",2,2,2,16,186,146,0,92,104,32,0,0,0,0,0,0,0,0,0,0
66,"freshwater",2,2.67857142857143,4,10,32,40,0,4,21,15,0,0,8,0,0,0,0,0,0,0
67,"freshwater",2,3.4767316017316,6,21,530,461,0,63,158,79,0,0,39,0,0,0,0,0,0,0
68,"freshwater",3,3.225,4,22,990,463,0,28,20,36,0,0,3,0,0,0,0,0,0,0
69,"estuary",2,3.14624881291548,6,29,2068,1231,0,93,141,91,0,0,30,0,0,0,0,0,0,0
70,"estuary",2,2.4,3,14,130,139,0,35,22,31,0,0,7,0,0,0,0,0,0,0
71,"freshwater",3,4.54166666666667,7,16,212,263,0,18,15,37,0,0,15,0,0,0,0,0,0,0
72,"freshwater",3,3.70444444444444,5,17,310,265,0,23,31,46,0,0,5,0,0,0,0,0,0,0
73,"freshwater",2,2,3,10,38,48,0,6,12,12,0,0,4,0,0,0,0,0,0,0
74,"beach",2,2.29166666666667,4,21,763,458,0,63,17,21,0,0,8,0,0,0,0,0,0,0
75,"freshwater",2,2.25,4,9,20,34,0,5,9,12,0,0,4,0,0,0,0,0,0,0
76,"freshwater",2,2.75,4,14,188,151,0,6,5,11,0,0,3,0,0,0,0,0,0,0
77,"freshwater",2,3.25,5,13,98,125,0,4,22,24,0,0,13,0,0,0,0,0,0,0
78,"freshwater",2,2.7625,5,16,254,241,0,15,18,25,0,0,7,0,0,0,0,0,0,0
79,"freshwater",3,3.95833333333333,5,21,856,401,0,26,14,29,0,0,4,0,0,0,0,0,0,0
80,"freshwater",2,3.46428571428571,5,27,1526,1063,0,122,115,84,0,0,15,0,0,0,0,0,0,0
81,"marine",3,3.25,4,12,76,100,0,17,8,17,0,0,2,0,0,0,0,0,0,0
82,"freshwater",3,3.66666666666667,5,10,43,46,0,2,12,13,0,0,4,0,0,0,0,0,0,0
83,"freshwater",2,2.39206349206349,4,25,1120,850,0,143,113,43,0,0,31,0,0,0,0,0,0,0
84,"freshwater",3,3.54166666666667,5,12,60,96,0,13,15,30,0,0,6,0,0,0,0,0,0,0
85,"wetland",3,3.55416666666667,5,27,1861,918,0,22,50,59,0,0,15,0,0,0,0,0,0,0
86,"marine",3,3.84375,6,16,190,239,0,28,31,55,0,0,17,0,0,0,0,0,0,0
87,"marine",3,3.25,4,12,82,82,0,24,7,19,0,0,6,0,0,0,0,0,0,0
88,"freshwater",2,2,2,16,168,207,0,65,61,48,0,0,11,0,0,0,0,0,0,0
89,"freshwater",2,2.75,4,18,405,315,0,30,27,34,0,0,5,0,0,0,0,0,0,0
90,"old-field",2,2.8,3,10,34,48,0,10,11,13,0,0,4,0,0,0,0,0,0,0
