"FCL_long","FCL_mean","FCL_short","Richness","Chain","Omnivory","Apparent","Exploitative"
13,4.88127728174603,3,32,0.358851674641148,0.105263157894737,0.264752791068581,0.271132376395534
0,0,0,3,NA,NA,NA,NA
0,0,0,3,NA,NA,NA,NA
0,0,0,3,NA,NA,NA,NA
0,0,0,3,NA,NA,NA,NA
0,0,0,3,NA,NA,NA,NA
1,1,1,4,0,0,0,1
0,0,0,4,NA,NA,NA,NA
1,1,1,4,NA,NA,NA,NA
2,2,2,4,1,0,0,0
0,0,0,4,NA,NA,NA,NA
3,3,3,5,0.666666666666667,0,0,0.333333333333333
3,2.5,2,5,0.666666666666667,0.333333333333333,0,0
1,1,1,5,0,0,0,1
2,1.5,1,5,0,1,0,0
2,2,2,5,0.5,0,0,0.5
2,2,2,6,1,0,0,0
1,1,1,6,NA,NA,NA,NA
1,1,1,6,0,0,1,0
2,2,2,6,1,0,0,0
2,2,2,6,1,0,0,0
2,2,2,7,1,0,0,0
2,2,2,7,0.2,0,0.2,0.6
2,2,2,7,0.333333333333333,0,0.333333333333333,0.333333333333333
2,2,2,7,0.5,0,0,0.5
3,2,2,7,0.384615384615385,0.0769230769230769,0.461538461538462,0.0769230769230769
2,2,2,8,1,0,0,0
2,2,2,8,1,0,0,0
3,3,3,8,0.571428571428571,0,0.142857142857143,0.285714285714286
5,3.75,3,8,0.6,0.133333333333333,0.0666666666666667,0.2
2,1.66666666666667,1,8,0.333333333333333,0,0.5,0.166666666666667
2,1.5,1,9,0.2,0,0.3,0.5
2,2,2,9,0.25,0,0.5,0.25
2,2,2,9,0.166666666666667,0,0.166666666666667,0.666666666666667
2,2,2,9,0.5,0,0.25,0.25
3,3,3,9,0.666666666666667,0,0.166666666666667,0.166666666666667
3,2.125,2,10,0.411764705882353,0.176470588235294,0.294117647058824,0.117647058823529
3,2.22222222222222,2,10,0.2,0.16,0.36,0.28
3,3,3,10,0.583333333333333,0,0.0833333333333333,0.333333333333333
4,3.25,3,10,0.3,0.1,0.4,0.2
4,2.375,2,10,0.333333333333333,0.285714285714286,0.238095238095238,0.142857142857143
6,3.6875,2,11,0.411764705882353,0.176470588235294,0.117647058823529,0.294117647058824
3,2.33333333333333,2,11,0.368421052631579,0,0.263157894736842,0.368421052631579
3,2.25,2,11,0.411764705882353,0,0.470588235294118,0.117647058823529
5,4.16666666666667,4,11,0.382352941176471,0.0882352941176471,0.176470588235294,0.352941176470588
5,3.75,3,11,0.48,0.2,0.2,0.12
3,2.5,2,12,0.3,0.133333333333333,0.133333333333333,0.433333333333333
4,2.58333333333333,2,12,0.294117647058824,0.196078431372549,0.215686274509804,0.294117647058824
4,4,4,12,0.5,0,0.25,0.25
3,2.16666666666667,2,12,0.387096774193548,0.0967741935483871,0.258064516129032,0.258064516129032
2,2,2,12,0.210526315789474,0.0526315789473684,0.526315789473684,0.210526315789474
4,4,4,13,0.454545454545455,0.0909090909090909,0.318181818181818,0.136363636363636
4,2.375,2,13,0.314285714285714,0.171428571428571,0.342857142857143,0.171428571428571
3,2,2,13,0.214285714285714,0.0714285714285714,0.619047619047619,0.0952380952380952
4,2.88888888888889,2,13,0.394736842105263,0.105263157894737,0.157894736842105,0.342105263157895
2,2,2,13,0.444444444444444,0,0.111111111111111,0.444444444444444
5,2.625,2,14,0.358974358974359,0.179487179487179,0.230769230769231,0.230769230769231
4,2,2,14,0.266666666666667,0.0888888888888889,0.333333333333333,0.311111111111111
3,2,2,14,0.380952380952381,0,0.380952380952381,0.238095238095238
4,2.75,2,14,0.462962962962963,0.0555555555555556,0.203703703703704,0.277777777777778
4,3,3,14,0.222222222222222,0.12962962962963,0.351851851851852,0.296296296296296
4,2.75,2,15,0.323529411764706,0.117647058823529,0.323529411764706,0.235294117647059
8,3.95625,3,15,0.4,0.106666666666667,0.24,0.253333333333333
4,3,2,15,0.307692307692308,0.0961538461538462,0.173076923076923,0.423076923076923
7,3.796875,3,15,0.36,0.133333333333333,0.226666666666667,0.28
5,3.7037037037037,3,15,0.48936170212766,0.0851063829787234,0.191489361702128,0.234042553191489
4,3.23333333333333,3,16,0.297297297297297,0.108108108108108,0.364864864864865,0.22972972972973
4,2.72222222222222,2,16,0.304878048780488,0.121951219512195,0.25609756097561,0.317073170731707
6,2.375,2,16,0.318181818181818,0.102272727272727,0.215909090909091,0.363636363636364
6,4,4,16,0.418181818181818,0,0.327272727272727,0.254545454545455
6,3.54861111111111,3,16,0.352380952380952,0.123809523809524,0.266666666666667,0.257142857142857
5,3.25694444444444,2,17,0.351648351648352,0.0989010989010989,0.230769230769231,0.318681318681319
6,3.0625,2,17,0.397260273972603,0.0958904109589041,0.164383561643836,0.342465753424658
7,3.5,3,17,0.345794392523364,0.0841121495327103,0.308411214953271,0.261682242990654
7,5,4,17,0.460526315789474,0.0921052631578947,0.223684210526316,0.223684210526316
6,3,3,17,0.263888888888889,0.0555555555555556,0.263888888888889,0.416666666666667
6,3.075,2,18,0.338983050847458,0.11864406779661,0.288135593220339,0.254237288135593
7,5,4,18,0.462365591397849,0.10752688172043,0.193548387096774,0.236559139784946
6,2.73958333333333,2,18,0.282051282051282,0.128205128205128,0.358974358974359,0.230769230769231
8,3.25,3,18,0.285714285714286,0.125714285714286,0.371428571428571,0.217142857142857
6,3.5,3,18,0.419753086419753,0.0864197530864197,0.222222222222222,0.271604938271605
4,3,3,19,0.252631578947368,0.0736842105263158,0.305263157894737,0.368421052631579
6,3,3,19,0.305785123966942,0.0909090909090909,0.380165289256198,0.223140495867769
8,4.625,3,19,0.338129496402878,0.122302158273381,0.237410071942446,0.302158273381295
6,3.19375,2,19,0.350877192982456,0.131578947368421,0.271929824561404,0.245614035087719
7,4,4,19,0.395833333333333,0.0833333333333333,0.229166666666667,0.291666666666667
7,3.66666666666667,3,20,0.4,0.0952380952380952,0.219047619047619,0.285714285714286
7,4.08333333333333,3,20,0.404761904761905,0.0793650793650794,0.198412698412698,0.317460317460317
7,3.75,3,20,0.320610687022901,0.0916030534351145,0.305343511450382,0.282442748091603
8,4.47321428571429,4,20,0.372222222222222,0.105555555555556,0.288888888888889,0.233333333333333
8,3.37109375,3,20,0.335078534031414,0.120418848167539,0.324607329842932,0.219895287958115
6,3.5026455026455,3,21,0.419117647058824,0.0882352941176471,0.286764705882353,0.205882352941176
6,3.45416666666667,2,21,0.300884955752212,0.106194690265487,0.238938053097345,0.353982300884956
8,4.4375,3,21,0.370860927152318,0.0794701986754967,0.258278145695364,0.291390728476821
5,2.55902777777778,2,21,0.39622641509434,0.0754716981132075,0.292452830188679,0.235849056603774
9,3.98703703703704,3,21,0.422818791946309,0.10738255033557,0.214765100671141,0.25503355704698
5,2.8125,2,22,0.369047619047619,0.0952380952380952,0.30952380952381,0.226190476190476
9,5.43303571428571,3,22,0.407643312101911,0.0955414012738854,0.229299363057325,0.267515923566879
9,4.74702380952381,4,22,0.352272727272727,0.121212121212121,0.212121212121212,0.314393939393939
9,4.66666666666667,3,22,0.33175355450237,0.0995260663507109,0.293838862559242,0.274881516587678
8,4.97222222222222,3,22,0.380681818181818,0.0965909090909091,0.221590909090909,0.301136363636364
7,4,4,23,0.284210526315789,0.110526315789474,0.347368421052632,0.257894736842105
9,4.06770833333333,3,23,0.375912408759124,0.116788321167883,0.240875912408759,0.266423357664234
10,3.98851851851852,3,23,0.321739130434783,0.11304347826087,0.260869565217391,0.304347826086957
8,3.31697530864198,2,23,0.365758754863813,0.120622568093385,0.252918287937743,0.260700389105058
