"FCL_long","FCL_mean","FCL_short","Richness","Chain","Omnivory","Apparent","Exploitative"
NA,NA,NA,32,0.393129770992366,0.0553435114503817,0.219465648854962,0.166030534351145
2,2,2,3,1,0,0,0
0,0,0,3,NA,NA,NA,NA
NA,NA,Inf,3,NA,NA,NA,NA
0,0,0,3,NA,NA,NA,NA
NA,NA,Inf,3,NA,NA,NA,NA
NA,NA,Inf,4,NA,NA,NA,NA
0,0,0,4,NA,NA,NA,NA
1,1,1,4,NA,NA,NA,NA
NA,NA,Inf,4,NA,NA,NA,NA
NA,NA,Inf,4,NA,NA,NA,NA
2,2,2,5,1,0,0,0
1,1,1,5,0,0,1,0
2,2,2,5,1,0,0,0
NA,3,2,5,1,0,0,0
NA,NA,Inf,5,NA,NA,NA,NA
NA,2,1,6,NA,NA,NA,NA
NA,3.55555555555556,2,6,0.416666666666667,0.0833333333333333,0.333333333333333,0.0833333333333333
NA,NA,Inf,6,NA,NA,NA,NA
NA,2,1,6,0,0,0,1
NA,NA,Inf,6,1,0,0,0
NA,2,1,7,0.5,0,0.5,0
1,1,1,7,0,0,1,0
NA,2,2,7,0.25,0,0.25,0.5
NA,6,3,7,0,0,0,0
NA,2.5,2,7,0.5,0,0.333333333333333,0.166666666666667
NA,2,2,8,0.5,0,0,0.5
NA,4,3,8,0.555555555555556,0,0,0.444444444444444
NA,NA,Inf,8,0,0,0.25,0.25
NA,28,5,8,0.25,0,0.25,0
NA,NA,Inf,8,NA,NA,NA,NA
NA,NA,Inf,9,0.5,0,0.25,0
NA,NA,Inf,9,0.75,0.0833333333333333,0,0.166666666666667
NA,2,2,9,0.5,0,0,0.5
2,2,2,9,0.375,0.125,0.375,0.125
NA,NA,Inf,9,0,0,0.5,0
NA,NA,Inf,10,1,0,0,0
3,2.33333333333333,2,10,0.5,0.2,0.2,0.1
NA,NA,Inf,10,0.428571428571429,0,0.285714285714286,0.142857142857143
NA,NA,Inf,10,0.5,0,0.1,0.25
NA,2,2,10,0.307692307692308,0,0.384615384615385,0.307692307692308
NA,3,2,11,0.235294117647059,0.0588235294117647,0.294117647058824,0.235294117647059
NA,4,3,11,0.428571428571429,0.0714285714285714,0.142857142857143,0.0714285714285714
NA,NA,Inf,11,0.25,0,0.125,0.25
NA,4,2,11,0.208333333333333,0.0833333333333333,0.416666666666667,0.208333333333333
NA,NA,Inf,11,0.588235294117647,0,0.176470588235294,0.117647058823529
NA,NA,Inf,12,0.333333333333333,0.166666666666667,0.19047619047619,0.142857142857143
NA,NA,Inf,12,0.379310344827586,0.0344827586206897,0.241379310344828,0.310344827586207
NA,NA,Inf,12,0.454545454545455,0.0303030303030303,0.121212121212121,0.242424242424242
NA,26.6666666666666,5,12,0.333333333333333,0.0555555555555556,0.222222222222222,0.111111111111111
NA,NA,Inf,12,0.555555555555556,0,0.0555555555555556,0.388888888888889
NA,6.88235294117647,3,13,0.432432432432432,0.027027027027027,0.216216216216216,0.0810810810810811
NA,NA,NA,13,0.483870967741935,0.032258064516129,0.0967741935483871,0.161290322580645
NA,NA,Inf,13,0.346153846153846,0,0.269230769230769,0.115384615384615
NA,4.76923076923077,2,13,0.511111111111111,0.0444444444444444,0.244444444444444,0.155555555555556
NA,NA,Inf,13,0.297297297297297,0,0.189189189189189,0.162162162162162
NA,NA,NA,14,0.457142857142857,0.0571428571428571,0.142857142857143,0.114285714285714
NA,3.625,3,14,0.48936170212766,0.0851063829787234,0.191489361702128,0.234042553191489
NA,NA,Inf,14,0.257142857142857,0.0571428571428571,0.342857142857143,0.228571428571429
NA,NA,NA,14,0.425531914893617,0.0851063829787234,0.106382978723404,0.276595744680851
NA,6,3,14,0.419354838709677,0.032258064516129,0.193548387096774,0.161290322580645
NA,13.95,4,15,0.468085106382979,0.0851063829787234,0.170212765957447,0.127659574468085
NA,6.64814814814815,4,15,0.576923076923077,0.0576923076923077,0.230769230769231,0.115384615384615
NA,6.83333333333333,4,15,0.40625,0.0625,0.25,0.1875
NA,23.9659090909091,4,15,0.263157894736842,0.105263157894737,0.210526315789474,0.12280701754386
NA,NA,Inf,15,0.41304347826087,0.0434782608695652,0.347826086956522,0.0652173913043478
NA,NA,Inf,16,0.371428571428571,0.0285714285714286,0.285714285714286,0.2
