"FW","resource","disturbance","replicate","FCL","richness","chain","omnivory","apparent","exploitative"
1,1,0.1,1,4,14,0.41304347826087,0.0217391304347826,0.195652173913043,0.369565217391304
1,1,0.1,2,3,10,0.346153846153846,0.0384615384615385,0.153846153846154,0.461538461538462
1,1,0.1,3,0,2,NA,NA,NA,NA
1,1,0.1,4,2,4,0.5,0,0.5,0
1,1,0.1,5,3,11,0.315789473684211,0,0.315789473684211,0.368421052631579
1,1,0.1,6,4,14,0.383333333333333,0.0333333333333333,0.333333333333333,0.25
1,1,0.1,7,3,11,0.428571428571429,0.0204081632653061,0.26530612244898,0.285714285714286
1,1,0.1,8,4,10,0.421052631578947,0.105263157894737,0.192982456140351,0.280701754385965
1,1,0.1,9,3,12,0.32258064516129,0.0645161290322581,0.290322580645161,0.32258064516129
1,1,0.1,10,0,2,NA,NA,NA,NA
1,1,0.1,11,2,7,0.25,0.25,0,0.5
1,1,0.1,12,2,7,0.384615384615385,0,0.230769230769231,0.384615384615385
1,1,0.1,13,5,17,0.377358490566038,0.0943396226415094,0.150943396226415,0.377358490566038
1,1,0.1,14,3,10,0.382978723404255,0.0212765957446809,0.276595744680851,0.319148936170213
1,1,0.1,15,4,11,0.451612903225806,0.0645161290322581,0.225806451612903,0.258064516129032
1,1,0.1,16,1,3,0,0,0,1
1,1,0.1,17,-1,0,NA,NA,NA,NA
1,1,0.1,18,0,2,NA,NA,NA,NA
1,1,0.1,19,4,12,0.324324324324324,0.0810810810810811,0.202702702702703,0.391891891891892
1,1,0.1,20,1,2,NA,NA,NA,NA
1,1,0.1,21,4,14,0.293103448275862,0.0344827586206897,0.189655172413793,0.482758620689655
1,1,0.1,22,3,9,0.428571428571429,0.142857142857143,0.214285714285714,0.214285714285714
1,1,0.1,23,3,9,0.368421052631579,0.0526315789473684,0.210526315789474,0.368421052631579
1,1,0.1,24,5,13,0.472972972972973,0.0540540540540541,0.216216216216216,0.256756756756757
1,1,0.1,25,4,10,0.448275862068966,0.0344827586206897,0.241379310344828,0.275862068965517
1,1,0.1,26,3,6,0.538461538461538,0.0769230769230769,0.153846153846154,0.230769230769231
1,1,0.1,27,4,13,0.380952380952381,0.0793650793650794,0.206349206349206,0.333333333333333
1,1,0.1,28,4,12,0.4375,0.09375,0.15625,0.3125
1,1,0.1,29,4,12,0.4,0.0222222222222222,0.266666666666667,0.311111111111111
1,1,0.1,30,3,11,0.432432432432432,0.027027027027027,0.243243243243243,0.297297297297297
1,1,0.1,31,4,14,0.380952380952381,0.0952380952380952,0.226190476190476,0.297619047619048
1,1,0.1,32,5,13,0.446428571428571,0.0892857142857143,0.0892857142857143,0.375
1,1,0.1,33,3,7,0.555555555555556,0,0.222222222222222,0.222222222222222
1,1,0.1,34,4,10,0.526315789473684,0,0.157894736842105,0.315789473684211
1,1,0.1,35,4,15,0.434782608695652,0.0434782608695652,0.217391304347826,0.304347826086957
1,1,0.1,36,2,4,1,0,0,0
1,1,0.1,37,3,9,0.466666666666667,0,0.233333333333333,0.3
1,1,0.1,38,3,14,0.392857142857143,0.0357142857142857,0.214285714285714,0.357142857142857
1,1,0.1,39,4,10,0.541666666666667,0,0.208333333333333,0.25
1,1,0.1,40,1,4,0,0,0,1
1,1,0.1,41,4,14,0.418604651162791,0,0.232558139534884,0.348837209302326
1,1,0.1,42,1,2,NA,NA,NA,NA
1,1,0.1,43,2,7,0.333333333333333,0.0666666666666667,0.266666666666667,0.333333333333333
1,1,0.1,44,2,6,0.571428571428571,0,0.142857142857143,0.285714285714286
1,1,0.1,45,2,4,0.5,0,0,0.5
1,1,0.1,46,4,10,0.423076923076923,0.115384615384615,0.153846153846154,0.307692307692308
1,1,0.1,47,0,1,NA,NA,NA,NA
1,1,0.1,48,2,3,0,1,0,0
1,1,0.1,49,6,19,0.338028169014085,0.0563380281690141,0.232394366197183,0.373239436619718
1,1,0.1,50,2,8,0.3125,0.0625,0.1875,0.4375
1,1,0.1,51,2,7,0.461538461538462,0,0.307692307692308,0.230769230769231
1,1,0.1,52,1,2,NA,NA,NA,NA
1,1,0.1,53,5,20,0.326732673267327,0.0792079207920792,0.178217821782178,0.415841584158416
1,1,0.1,54,3,6,0.75,0,0,0.25
1,1,0.1,55,4,9,0.5,0,0.192307692307692,0.307692307692308
1,1,0.1,56,6,20,0.364406779661017,0.076271186440678,0.211864406779661,0.347457627118644
1,1,0.1,57,3,10,0.208333333333333,0.0833333333333333,0.25,0.458333333333333
1,1,0.1,58,3,12,0.324324324324324,0.027027027027027,0.189189189189189,0.459459459459459
1,1,0.1,59,3,7,0.666666666666667,0,0.111111111111111,0.222222222222222
1,1,0.1,60,4,17,0.271739130434783,0.0652173913043478,0.293478260869565,0.369565217391304
1,1,0.1,61,3,8,0.666666666666667,0,0.111111111111111,0.222222222222222
1,1,0.1,62,3,8,0.4375,0.0625,0.25,0.25
1,1,0.1,63,0,2,NA,NA,NA,NA
1,1,0.1,64,4,10,0.466666666666667,0,0.2,0.333333333333333
1,1,0.1,65,3,6,0.4,0.1,0.1,0.4
1,1,0.1,66,3,8,0.181818181818182,0.136363636363636,0.363636363636364,0.318181818181818
1,1,0.1,67,-1,0,NA,NA,NA,NA
1,1,0.1,68,4,11,0.298245614035088,0.140350877192982,0.245614035087719,0.315789473684211
1,1,0.1,69,3,9,0.428571428571429,0,0.285714285714286,0.285714285714286
1,1,0.1,70,0,1,NA,NA,NA,NA
1,1,0.1,71,3,8,0.5,0,0.1875,0.3125
1,1,0.1,72,4,11,0.5,0.0714285714285714,0.0714285714285714,0.357142857142857
1,1,0.1,73,2,10,0.166666666666667,0.0555555555555556,0.277777777777778,0.5
1,1,0.1,74,4,10,0.333333333333333,0.133333333333333,0.2,0.333333333333333
1,1,0.1,75,3,9,0.44,0.08,0.12,0.36
1,1,0.1,76,4,12,0.377777777777778,0.155555555555556,0.244444444444444,0.222222222222222
1,1,0.1,77,3,11,0.285714285714286,0.0357142857142857,0.178571428571429,0.5
1,1,0.1,78,2,7,0.428571428571429,0,0.214285714285714,0.357142857142857
1,1,0.1,79,4,13,0.424242424242424,0.0606060606060606,0.212121212121212,0.303030303030303
1,1,0.1,80,4,11,0.538461538461538,0.0384615384615385,0.115384615384615,0.307692307692308
1,1,0.1,81,1,4,0,0,0,1
1,1,0.1,82,1,3,NA,NA,NA,NA
1,1,0.1,83,3,12,0.263157894736842,0.0701754385964912,0.210526315789474,0.456140350877193
1,1,0.1,84,3,13,0.307692307692308,0.0576923076923077,0.211538461538462,0.423076923076923
1,1,0.1,85,4,11,0.458333333333333,0,0.166666666666667,0.375
1,1,0.1,86,4,14,0.285714285714286,0.0857142857142857,0.3,0.328571428571429
