"FW","resource","disturbance","replicate","FCL","richness","chain","omnivory","apparent","exploitative"
1,1,0.1,1,2,7,0.375,0,0.25,0.375
1,1,0.1,2,1,11,0.119047619047619,0.119047619047619,0.19047619047619,0.571428571428571
1,1,0.1,3,3,12,0.32,0.08,0.28,0.32
1,1,0.1,4,2,13,0.288659793814433,0.206185567010309,0.216494845360825,0.288659793814433
1,1,0.1,5,2,10,0.214285714285714,0.214285714285714,0.0952380952380952,0.476190476190476
1,1,0.1,6,1,5,0,0.166666666666667,0,0.833333333333333
1,1,0.1,7,2,18,0.253846153846154,0.0846153846153846,0.238461538461538,0.423076923076923
1,1,0.1,8,2,6,0.2,0,0.2,0.6
1,1,0.1,9,2,11,0.153846153846154,0.0769230769230769,0.205128205128205,0.564102564102564
1,1,0.1,10,2,15,0.275862068965517,0.149425287356322,0.103448275862069,0.471264367816092
1,1,0.1,11,-1,0,NA,NA,NA,NA
1,1,0.1,12,3,11,0.4,0.2,0.163636363636364,0.236363636363636
1,1,0.1,13,1,5,0,0.166666666666667,0,0.833333333333333
1,1,0.1,14,2,12,0.181818181818182,0.0363636363636364,0.127272727272727,0.654545454545455
1,1,0.1,15,2,14,0.3,0.075,0.1625,0.4625
1,1,0.1,16,2,10,0.133333333333333,0.0666666666666667,0.166666666666667,0.633333333333333
1,1,0.1,17,2,12,0.274509803921569,0.0588235294117647,0.156862745098039,0.509803921568627
1,1,0.1,18,3,15,0.296875,0.109375,0.1875,0.40625
1,1,0.1,19,2,15,0.259615384615385,0.105769230769231,0.288461538461538,0.346153846153846
1,1,0.1,20,2,4,0.5,0,0,0.5
1,1,0.1,21,1,10,0.175,0.05,0.175,0.6
1,1,0.1,22,2,13,0.145454545454545,0.127272727272727,0.218181818181818,0.509090909090909
1,1,0.1,23,3,8,0.444444444444444,0.222222222222222,0,0.333333333333333
1,1,0.1,24,2,10,0.380952380952381,0.0476190476190476,0.142857142857143,0.428571428571429
1,1,0.1,25,2,9,0.162790697674419,0.395348837209302,0.0930232558139535,0.348837209302326
1,1,0.1,26,2,7,0.166666666666667,0,0.166666666666667,0.666666666666667
1,1,0.1,27,3,14,0.245283018867925,0.0377358490566038,0.169811320754717,0.547169811320755
1,1,0.1,28,3,13,0.416666666666667,0.0277777777777778,0.194444444444444,0.361111111111111
1,1,0.1,29,1,4,0,0,0.5,0.5
1,1,0.1,30,0,1,NA,NA,NA,NA
1,1,0.1,31,2,19,0.222727272727273,0.118181818181818,0.245454545454545,0.413636363636364
1,1,0.1,32,3,15,0.278481012658228,0.0759493670886076,0.240506329113924,0.40506329113924
1,1,0.1,33,2,9,0.375,0.0625,0.1875,0.375
1,1,0.1,34,2,15,0.294871794871795,0.153846153846154,0.128205128205128,0.423076923076923
1,1,0.1,35,2,5,0.25,0,0,0.75
1,1,0.1,36,2,14,0.303030303030303,0.0757575757575758,0.151515151515152,0.46969696969697
1,1,0.1,37,2,9,0.227272727272727,0,0.181818181818182,0.590909090909091
1,1,0.1,38,2,16,0.296703296703297,0.043956043956044,0.230769230769231,0.428571428571429
1,1,0.1,39,3,9,0.473684210526316,0.105263157894737,0.157894736842105,0.263157894736842
1,1,0.1,40,2,12,0.222222222222222,0.166666666666667,0.111111111111111,0.5
1,1,0.1,41,1,4,0,0,0,1
1,1,0.1,42,2,9,0.264705882352941,0.264705882352941,0.0882352941176471,0.382352941176471
1,1,0.1,43,2,14,0.372340425531915,0.180851063829787,0.191489361702128,0.25531914893617
1,1,0.1,44,2,12,0.279411764705882,0.132352941176471,0.161764705882353,0.426470588235294
1,1,0.1,45,2,16,0.243243243243243,0.0990990990990991,0.18018018018018,0.477477477477477
1,1,0.1,46,2,8,0.15,0.05,0.15,0.65
1,1,0.1,47,2,13,0.225806451612903,0.112903225806452,0.17741935483871,0.483870967741935
1,1,0.1,48,2,6,0.5,0,0.125,0.375
1,1,0.1,49,3,19,0.357142857142857,0.05,0.221428571428571,0.371428571428571
1,1,0.1,50,2,14,0.231707317073171,0.109756097560976,0.170731707317073,0.48780487804878
1,1,0.1,51,3,12,0.318181818181818,0.136363636363636,0.159090909090909,0.386363636363636
1,1,0.1,52,2,19,0.351145038167939,0.0610687022900763,0.259541984732824,0.32824427480916
1,1,0.1,53,3,19,0.311594202898551,0.115942028985507,0.188405797101449,0.384057971014493
1,1,0.1,54,2,13,0.294117647058824,0.0735294117647059,0.161764705882353,0.470588235294118
1,1,0.1,55,4,14,0.382352941176471,0.0882352941176471,0.117647058823529,0.411764705882353
1,1,0.1,56,2,13,0.263157894736842,0.0701754385964912,0.12280701754386,0.543859649122807
1,1,0.1,57,2,7,0.125,0,0.125,0.75
1,1,0.1,58,2,12,0.25,0.192307692307692,0.115384615384615,0.442307692307692
1,1,0.1,59,3,10,0.1875,0,0.21875,0.59375
1,1,0.1,60,-1,0,NA,NA,NA,NA
1,1,0.1,61,2,14,0.166666666666667,0.107142857142857,0.202380952380952,0.523809523809524
1,1,0.1,62,3,16,0.341463414634146,0.0975609756097561,0.231707317073171,0.329268292682927
1,1,0.1,63,2,5,0.666666666666667,0,0,0.333333333333333
1,1,0.1,64,2,14,0.27906976744186,0.13953488372093,0.209302325581395,0.372093023255814
1,1,0.1,65,-1,0,NA,NA,NA,NA
1,1,0.1,66,3,15,0.431034482758621,0.120689655172414,0.155172413793103,0.293103448275862
1,1,0.1,67,2,19,0.251748251748252,0.111888111888112,0.146853146853147,0.48951048951049
1,1,0.1,68,2,16,0.213592233009709,0.135922330097087,0.135922330097087,0.514563106796116
1,1,0.1,69,2,15,0.25974025974026,0.142857142857143,0.233766233766234,0.363636363636364
1,1,0.1,70,2,12,0.22,0.1,0.2,0.48
1,1,0.1,71,2,13,0.261261261261261,0.234234234234234,0.189189189189189,0.315315315315315
1,1,0.1,72,2,12,0.166666666666667,0.0833333333333333,0.194444444444444,0.555555555555556
1,1,0.1,73,2,16,0.278688524590164,0.147540983606557,0.19672131147541,0.377049180327869
1,1,0.1,74,2,7,0.25,0.0833333333333333,0.166666666666667,0.5
1,1,0.1,75,3,15,0.268817204301075,0.129032258064516,0.161290322580645,0.440860215053763
1,1,0.1,76,1,5,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429
1,1,0.1,77,2,18,0.230769230769231,0.115384615384615,0.256410256410256,0.397435897435897
1,1,0.1,78,2,19,0.284883720930233,0.13953488372093,0.209302325581395,0.366279069767442
1,1,0.1,79,3,11,0.245283018867925,0.169811320754717,0.0943396226415094,0.490566037735849
1,1,0.1,80,-1,0,NA,NA,NA,NA
1,1,0.1,81,2,13,0.229508196721311,0.131147540983607,0.213114754098361,0.426229508196721
1,1,0.1,82,1,4,0,0,0,1
1,1,0.1,83,1,4,0,0,0,1
1,1,0.1,84,3,17,0.205128205128205,0.170940170940171,0.162393162393162,0.461538461538462
1,1,0.1,85,2,7,0.214285714285714,0.0714285714285714,0.0714285714285714,0.642857142857143
1,1,0.1,86,2,12,0.170212765957447,0.0425531914893617,0.212765957446809,0.574468085106383
1,1,0.1,87,2,10,0.260869565217391,0.0434782608695652,0.217391304347826,0.478260869565217
1,1,0.1,88,2,10,0.346153846153846,0.115384615384615,0.269230769230769,0.269230769230769
1,1,0.1,89,2,15,0.178217821782178,0.108910891089109,0.108910891089109,0.603960396039604
1,1,0.1,90,2,12,0.151515151515152,0.0606060606060606,0.121212121212121,0.666666666666667
1,1,0.1,91,2,9,0.19047619047619,0,0.19047619047619,0.619047619047619
1,1,0.1,92,2,17,0.211382113821138,0.0650406504065041,0.195121951219512,0.528455284552846
1,1,0.1,93,2,6,0.333333333333333,0,0,0.666666666666667
1,1,0.1,94,2,12,0.134615384615385,0.173076923076923,0.173076923076923,0.519230769230769
1,1,0.1,95,2,12,0.294117647058824,0.0392156862745098,0.176470588235294,0.490196078431373
1,1,0.1,96,1,5,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667
1,1,0.1,97,2,15,0.181818181818182,0.0606060606060606,0.202020202020202,0.555555555555556
1,1,0.1,98,2,8,0.166666666666667,0.111111111111111,0.166666666666667,0.555555555555556
1,1,0.1,99,1,3,0,0,0,1
1,1,0.1,100,2,16,0.277777777777778,0.188888888888889,0.0333333333333333,0.5
1,1,0.5,1,1,9,0.0555555555555556,0.0555555555555556,0.277777777777778,0.611111111111111
1,1,0.5,2,2,6,0.181818181818182,0.181818181818182,0.181818181818182,0.454545454545455
1,1,0.5,3,2,4,0.5,0,0.25,0.25
1,1,0.5,4,1,3,0,0,0,1
1,1,0.5,5,-1,0,NA,NA,NA,NA
1,1,0.5,6,2,6,0.5,0,0,0.5
1,1,0.5,7,2,13,0.236111111111111,0.166666666666667,0.166666666666667,0.430555555555556
1,1,0.5,8,1,9,0.0909090909090909,0.0909090909090909,0.333333333333333,0.484848484848485
1,1,0.5,9,2,15,0.217821782178218,0.128712871287129,0.178217821782178,0.475247524752475
1,1,0.5,10,1,5,0.25,0.25,0.25,0.25
1,1,0.5,11,2,6,0.2,0,0.2,0.6
1,1,0.5,12,0,1,NA,NA,NA,NA
1,1,0.5,13,1,10,0.148936170212766,0.191489361702128,0.340425531914894,0.319148936170213
1,1,0.5,14,2,3,1,0,0,0
1,1,0.5,15,1,9,0.115384615384615,0.153846153846154,0.307692307692308,0.423076923076923
1,1,0.5,16,1,4,0,0,0.5,0.5
1,1,0.5,17,2,4,0.333333333333333,0.333333333333333,0,0.333333333333333
1,1,0.5,18,1,2,NA,NA,NA,NA
1,1,0.5,19,2,6,0.4,0,0.2,0.4
1,1,0.5,20,1,4,0.333333333333333,0.333333333333333,0.333333333333333,0
1,1,0.5,21,1,2,NA,NA,NA,NA
1,1,0.5,22,2,11,0.32258064516129,0.0645161290322581,0.193548387096774,0.419354838709677
1,1,0.5,23,2,4,0.666666666666667,0.333333333333333,0,0
1,1,0.5,24,1,3,0,0,0,1
1,1,0.5,25,1,4,0,0,0,1
1,1,0.5,26,-1,0,NA,NA,NA,NA
1,1,0.5,27,2,8,0.454545454545455,0.136363636363636,0.181818181818182,0.227272727272727
1,1,0.5,28,1,4,0,0.333333333333333,0,0.666666666666667
1,1,0.5,29,-1,0,NA,NA,NA,NA
1,1,0.5,30,2,9,0.1,0.1,0,0.8
1,1,0.5,31,3,8,0.454545454545455,0,0.181818181818182,0.363636363636364
