N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
16,8,0.11,0.1,0.4,0.25,3,NA,NA,NA,NA,1
48,8,0.13,10,0.6,1.75,15,0.342857143,0.028571429,0.257142857,0.371428571,4
16,2,0.13,0.1,0.6,1.25,1,NA,NA,NA,NA,0
24,2,0.12,0.1,0.1,1,6,0,1,0,0,2
64,2,0.09,10,0.5,1.5,1,NA,NA,NA,NA,0
32,2,0.09,2,0.4,1.5,8,0.444444444,0,0.277777778,0.277777778,3
24,4,0.11,0.5,0.1,2,19,0.361344538,0.058823529,0.302521008,0.277310924,5
32,6,0.1,10,0.4,1.5,11,0.064516129,0.032258065,0.225806452,0.677419355,2
32,4,0.09,0.1,0.5,0.75,0,NA,NA,NA,NA,-1
16,6,0.1,0.5,0.2,1.5,9,0.157894737,0,0.526315789,0.315789474,2
64,4,0.11,1,0.4,1.75,34,0.354166667,0.098484848,0.276515152,0.270833333,11
64,4,0.12,2,0.2,1,34,0.389312977,0.080152672,0.263358779,0.267175573,7
24,8,0.12,0.5,0.9,0.75,4,0,0,0,1,1
24,8,0.13,0.1,0.6,1.75,11,0.25,0.083333333,0.291666667,0.375,2
16,6,0.13,1,0.6,0.75,3,NA,NA,NA,NA,0
64,4,0.13,0.1,0.2,0.5,6,0.333333333,0,0,0.666666667,2
64,8,0.13,1,0.5,0.75,9,0.470588235,0.058823529,0.176470588,0.294117647,2
16,2,0.12,0.5,0.7,1.25,7,0.416666667,0.166666667,0.166666667,0.25,3
16,4,0.13,0.5,0.6,1,6,0,0.166666667,0.333333333,0.5,2
64,6,0.11,0.5,0.8,0.5,4,NA,NA,NA,NA,1
64,8,0.11,0.5,0.4,2,31,0.275280899,0.050561798,0.280898876,0.393258427,4
24,6,0.09,0.1,0.2,2,13,0.259259259,0,0.333333333,0.407407407,2
24,6,0.09,2,0.4,1,8,0.2,0.2,0.2,0.4,2
16,2,0.09,0.1,0.3,2,6,0.166666667,0.166666667,0.166666667,0.5,2
48,4,0.09,0.5,0.7,0.25,0,NA,NA,NA,NA,-1
16,2,0.09,0.5,0.3,1.5,6,0.142857143,0,0.285714286,0.571428571,2
48,6,0.12,0.5,0.7,1,16,0.292307692,0.107692308,0.292307692,0.307692308,5
32,2,0.1,2,0.4,1,2,NA,NA,NA,NA,1
24,2,0.11,0.5,0.9,0.25,0,NA,NA,NA,NA,-1
24,8,0.11,0.1,0.1,0.5,7,0.5,0,0.5,0,2
48,4,0.11,0.5,0.4,1.25,16,0.330357143,0.098214286,0.178571429,0.392857143,5
48,2,0.13,0.1,0.1,1.25,28,0.340599455,0.084468665,0.242506812,0.332425068,7
48,8,0.09,2,0.1,0.75,17,0.436170213,0.117021277,0.223404255,0.223404255,6
24,8,0.09,0.5,0.9,1.5,4,0,0,0.5,0.5,1
48,2,0.1,2,0.6,1.25,12,0.357142857,0.178571429,0.178571429,0.285714286,4
16,4,0.09,1,0.5,1.75,5,0.5,0,0,0.5,2
16,2,0.12,10,0.5,1,6,0.307692308,0.230769231,0.153846154,0.307692308,3
48,8,0.09,0.1,0.4,2,21,0.4609375,0.109375,0.21875,0.2109375,7
16,4,0.11,2,0.6,1.25,3,NA,NA,NA,NA,1
