N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
16,4,0.09,10,0.1,2,13,0.26,0.12,0.26,0.36,2.402777778
48,8,0.1,0.1,0.1,0.25,3,NA,NA,NA,NA,1
16,8,0.11,0.1,0.9,0.5,4,0,0,0,1,1
24,6,0.12,2,0.6,1.75,13,0.22,0.08,0.44,0.26,1.791666667
64,4,0.12,0.1,0.5,1,10,0.352941176,0.117647059,0.352941176,0.176470588,2.5
32,8,0.13,0.5,0.5,1.5,7,0.125,0.0625,0.375,0.4375,1.5
24,2,0.13,0.1,0.2,0.75,3,0,0,0,1,1
32,4,0.13,0.5,0.3,0.25,3,NA,NA,NA,NA,1
32,6,0.11,1,0.6,0.75,15,0.274193548,0.080645161,0.330645161,0.314516129,2.4
16,8,0.13,0.1,0.2,1.75,11,0.217391304,0.086956522,0.434782609,0.260869565,1.444444444
64,6,0.11,10,0.8,0.75,4,NA,NA,NA,NA,1
64,6,0.11,0.1,0.8,0.75,2,NA,NA,NA,NA,1
24,2,0.09,0.1,0.2,1.75,6,0.666666667,0,0,0.333333333,3
24,4,0.09,10,0.2,2,11,0.454545455,0.151515152,0.212121212,0.181818182,2.75
16,2,0.09,2,0.7,1,1,NA,NA,NA,NA,0
64,6,0.09,2,0.3,1.25,21,0.278145695,0.162251656,0.271523179,0.28807947,3.398384354
64,2,0.09,0.1,0.2,0.75,21,0.264705882,0.135294118,0.270588235,0.329411765,4.852083333
16,2,0.12,0.1,0.8,0.5,1,NA,NA,NA,NA,0
16,8,0.1,0.5,0.9,1.75,6,0,0,1,0,1
64,4,0.11,1,0.7,1.75,36,0.335844995,0.102260495,0.25941873,0.30247578,4.250833333
64,2,0.12,2,0.9,1.75,19,0.387387387,0.09009009,0.216216216,0.306306306,4.375
24,8,0.11,0.5,0.9,1.75,9,0,0,0.576923077,0.423076923,1
24,8,0.13,0.1,0.6,1.5,14,0.301204819,0.144578313,0.277108434,0.277108434,2.6
16,2,0.09,1,0.8,1.5,1,NA,NA,NA,NA,0
48,4,0.09,0.1,0.3,0.75,5,0.5,0.166666667,0.166666667,0.166666667,2
16,2,0.1,1,0.5,2,7,0.285714286,0.142857143,0.357142857,0.214285714,2.25
48,8,0.09,0.5,0.5,2,27,0.374407583,0.047393365,0.265402844,0.312796209,3.310416667
32,2,0.12,0.5,0.4,0.25,1,NA,NA,NA,NA,0
24,2,0.09,0.5,0.3,1.5,9,0.4,0,0.4,0.2,2
24,4,0.11,0.5,0.4,1.5,9,0.304347826,0.130434783,0.217391304,0.347826087,2.75
48,6,0.13,0.1,0.2,1.5,28,0.319343066,0.102189781,0.361313869,0.217153285,4.268253968
48,8,0.13,2,0.1,1.25,30,0.309248555,0.092485549,0.291907514,0.306358382,3
48,6,0.09,0.1,0.6,0.75,5,0.333333333,0,0.333333333,0.333333333,1.5
24,4,0.09,10,0.9,1.25,4,0.5,0,0.5,0,1.5
48,2,0.11,0.5,0.2,0.5,2,NA,NA,NA,NA,0
16,6,0.12,0.5,0.7,2,8,0.5,0.166666667,0.083333333,0.25,2.25
16,8,0.09,0.5,0.1,1.5,10,0.153846154,0,0.615384615,0.230769231,2
48,6,0.1,2,0.3,2,32,0.372703412,0.107611549,0.257217848,0.262467192,4.219390561
16,8,0.09,0.5,0.8,1.75,7,0.230769231,0.153846154,0.307692308,0.307692308,1.666666667
24,8,0.13,0.1,0.4,1.25,7,0.125,0.1875,0.4375,0.25,1.833333333
32,2,0.13,0.5,0.3,2,17,0.289655172,0.110344828,0.324137931,0.275862069,3
24,8,0.1,0.1,0.9,1.75,4,0,0,0,1,1
24,4,0.12,2,0.4,0.5,3,NA,NA,NA,NA,0
64,8,0.13,0.5,0.8,1,25,0.293939394,0.078787879,0.296969697,0.33030303,3.304583333
24,6,0.11,2,0.2,0.25,5,0,0,0.666666667,0.333333333,1
16,8,0.11,1,0.2,1.75,11,0.03125,0.09375,0.5,0.375,1.25
32,6,0.13,10,0.1,2,20,0.319702602,0.152416357,0.278810409,0.249070632,3.048366667
32,2,0.12,0.1,0.5,0.25,1,NA,NA,NA,NA,0
48,4,0.1,2,0.1,1.75,36,0.315614618,0.132890365,0.314507198,0.236987818,4.630915638
32,8,0.11,2,0.4,0.75,11,0.44,0,0.24,0.32,3
16,8,0.13,10,0.2,1.5,10,0,0.095238095,0.714285714,0.19047619,1.5
48,6,0.09,10,0.3,0.75,11,0.346153846,0.076923077,0.153846154,0.423076923,3.333333333
64,8,0.12,10,0.1,0.5,26,0.337526205,0.098532495,0.280922432,0.283018868,3.416666667
16,2,0.13,0.5,0.9,0.25,0,NA,NA,NA,NA,-1
16,8,0.11,10,0.6,0.25,3,NA,NA,NA,NA,1
48,8,0.13,10,0.9,1,10,0.344827586,0,0.310344828,0.344827586,2.666666667
64,8,0.09,1,0.8,2,25,0.29281768,0.044198895,0.38121547,0.281767956,3.833333333
64,2,0.11,1,0.9,2,7,0.25,0.285714286,0.321428571,0.142857143,2.5
48,8,0.11,0.5,0.7,1,9,0.36,0.28,0.08,0.28,2.5
64,6,0.12,0.5,0.6,0.25,1,NA,NA,NA,NA,0
48,2,0.09,1,0.6,1.5,19,0.346405229,0.117647059,0.215686275,0.320261438,4.005208333
