N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
16,4,0.1,10,0.1,1,10,0.25,0.178571429,0.428571429,0.142857143,2
48,4,0.11,0.1,0.8,0.25,3,0,1,0,0,1
16,8,0.13,0.1,0.5,2,8,0.25,0.25,0.25,0.25,2
16,2,0.1,10,0.9,0.5,1,NA,NA,NA,NA,0
16,4,0.1,10,0.2,0.25,2,NA,NA,NA,NA,1
64,4,0.13,2,0.2,2,38,0.342040816,0.099591837,0.309387755,0.248979592,3
16,8,0.11,0.5,0.4,1.5,9,0.263157895,0,0.578947368,0.157894737,2
16,4,0.1,10,0.8,0.25,0,NA,NA,NA,NA,-1
32,6,0.11,0.1,0.2,2,16,0.12,0.06,0.3,0.52,2
48,4,0.11,0.1,0.4,1.5,24,0.263546798,0.125615764,0.302955665,0.307881773,3
32,2,0.1,0.1,0.9,1.5,1,NA,NA,NA,NA,0
64,2,0.11,0.1,0.9,0.5,0,NA,NA,NA,NA,-1
64,8,0.09,1,0.4,1.25,23,0.327868852,0.069672131,0.303278689,0.299180328,3
48,8,0.1,1,0.4,1.75,24,0.341333333,0.114666667,0.298666667,0.245333333,2
16,4,0.1,10,0.2,0.75,7,0,0,0.555555556,0.444444444,1
24,2,0.13,0.1,0.5,2,11,0.4,0.15,0.266666667,0.183333333,2
32,8,0.09,2,0.4,0.25,6,0,0.5,0.5,0,1
64,6,0.13,10,0.7,0.5,3,0,0,0,1,1
32,6,0.13,2,0.4,0.75,8,0.4,0.1,0.2,0.3,2
48,8,0.13,2,0.7,1.25,13,0.367346939,0.102040816,0.326530612,0.204081633,2
32,8,0.09,0.1,0.4,1.25,14,0.238095238,0.063492063,0.555555556,0.142857143,2
64,2,0.09,0.5,0.9,1.5,4,1,0,0,0,2
48,2,0.09,0.5,0.6,1.5,12,0.246376812,0.144927536,0.289855072,0.31884058,2
24,8,0.1,1,0.8,0.5,2,NA,NA,NA,NA,0
32,4,0.09,2,0.6,2,12,0.306122449,0.12244898,0.346938776,0.224489796,2
48,2,0.13,1,0.9,2,9,0.117647059,0.294117647,0.352941176,0.235294118,2
64,8,0.1,2,0.5,1.75,28,0.321167883,0.092457421,0.287104623,0.299270073,3
48,8,0.1,2,0.4,1.25,29,0.302884615,0.072115385,0.324519231,0.300480769,2
48,4,0.12,2,0.9,1,8,0.555555556,0,0.111111111,0.333333333,3
16,8,0.12,1,0.3,1.75,9,0.25,0.2,0.35,0.2,1
24,6,0.12,1,0.9,0.75,5,0.5,0,0.5,0,1
32,4,0.1,2,0.3,2,7,0.375,0.125,0.125,0.375,2
64,6,0.11,0.5,0.8,0.25,3,NA,NA,NA,NA,1
64,6,0.1,0.5,0.4,0.25,0,NA,NA,NA,NA,-1
32,8,0.09,1,0.7,0.25,0,NA,NA,NA,NA,-1
32,8,0.11,0.1,0.8,2,8,0.3125,0.0625,0.5,0.125,2
24,4,0.09,0.1,0.4,0.25,0,NA,NA,NA,NA,-1
32,2,0.12,1,0.7,1.75,6,0.428571429,0.285714286,0.071428571,0.214285714,2
24,8,0.11,10,0.6,0.75,4,1,0,0,0,2
16,2,0.11,2,0.7,1.5,3,NA,NA,NA,NA,1
24,8,0.11,2,0.9,1.25,5,0.5,0,0.5,0,2
16,6,0.11,0.5,0.5,0.5,2,NA,NA,NA,NA,0
64,4,0.11,10,0.4,0.5,13,0.294117647,0.117647059,0.205882353,0.382352941,2
16,6,0.09,0.1,0.5,0.5,4,NA,NA,NA,NA,1
16,4,0.09,0.5,0.2,1.75,8,0.4,0,0.2,0.4,2
24,4,0.09,1,0.5,1.25,4,0,0,0.5,0.5,1
16,6,0.13,10,0.4,1.5,9,0.266666667,0.066666667,0.333333333,0.333333333,1
48,6,0.11,0.5,0.9,0.25,0,NA,NA,NA,NA,-1
16,2,0.1,10,0.5,0.5,1,NA,NA,NA,NA,0
16,6,0.1,0.5,0.1,1,10,0.318181818,0.227272727,0.227272727,0.227272727,1
16,2,0.09,0.1,0.1,2,10,0.40625,0.09375,0.21875,0.28125,2
16,8,0.13,0.5,0.9,1.25,10,0.111111111,0.055555556,0.5,0.333333333,1
32,4,0.09,10,0.6,1,1,NA,NA,NA,NA,0
64,2,0.11,10,0.7,0.5,1,NA,NA,NA,NA,0
48,6,0.12,1,0.9,2,20,0.302325581,0.144186047,0.28372093,0.269767442,2
16,4,0.11,2,0.4,0.5,3,NA,NA,NA,NA,1
16,2,0.11,1,0.1,0.75,6,0.2,0.2,0,0.6,2
64,2,0.12,0.5,0.1,1,32,0.308900524,0.176963351,0.24921466,0.264921466,3
16,6,0.09,2,0.3,0.75,4,0,0,1,0,1
24,8,0.12,0.5,0.7,1.75,6,1,0,0,0,2
64,4,0.13,2,0.4,0.5,1,NA,NA,NA,NA,0
48,4,0.13,1,0.6,0.75,13,0.324675325,0.116883117,0.285714286,0.272727273,2
24,6,0.1,1,0.4,0.25,0,NA,NA,NA,NA,-1
24,4,0.09,2,0.8,1.5,7,0.076923077,0.153846154,0.461538462,0.307692308,1
64,4,0.12,2,0.3,0.25,3,1,0,0,0,2
48,4,0.09,0.5,0.4,1.75,21,0.31372549,0.12745098,0.308823529,0.25,3
32,8,0.13,0.1,0.9,2,13,0.218181818,0.072727273,0.345454545,0.363636364,2
16,6,0.1,0.5,0.4,2,13,0.163636364,0.127272727,0.454545455,0.254545455,2
64,8,0.13,10,0.7,1.5,14,0.553191489,0.021276596,0.212765957,0.212765957,4
48,8,0.13,0.1,0.2,0.5,15,0.233870968,0.064516129,0.403225806,0.298387097,2
24,2,0.13,0.5,0.9,1,6,0,0.2,0.4,0.4,1
16,8,0.11,2,0.8,1.75,7,0,0,0.8,0.2,1
16,4,0.13,0.5,0.7,1,4,0,0,1,0,1
16,6,0.09,2,0.2,0.25,3,NA,NA,NA,NA,0
24,2,0.12,10,0.5,2,3,NA,NA,NA,NA,1
64,6,0.1,2,0.3,1.75,35,0.279937792,0.088646967,0.370139969,0.261275272,4
16,2,0.09,0.5,0.7,1,3,NA,NA,NA,NA,1
24,8,0.09,2,0.8,1.25,2,NA,NA,NA,NA,1
24,2,0.11,0.5,0.2,0.75,9,0.411764706,0,0.117647059,0.470588235,3
48,8,0.12,0.5,0.9,0.75,5,0,0,0.666666667,0.333333333,1
48,6,0.13,10,0.6,2,28,0.323825503,0.092281879,0.303691275,0.280201342,2
16,8,0.13,0.5,0.6,0.5,1,NA,NA,NA,NA,0
64,4,0.12,10,0.3,1,16,0.416666667,0.097222222,0.236111111,0.25,3
48,6,0.12,10,0.7,0.75,3,NA,NA,NA,NA,1
16,4,0.11,0.5,0.4,1.75,2,NA,NA,NA,NA,0
24,2,0.13,0.1,0.7,1.25,4,NA,NA,NA,NA,1
24,8,0.11,2,0.2,2,18,0.142857143,0.051948052,0.415584416,0.38961039,1
24,8,0.13,1,0.6,1.5,14,0.246753247,0.090909091,0.38961039,0.272727273,1
64,6,0.12,1,0.5,1,11,0.482758621,0.137931034,0.206896552,0.172413793,3
32,6,0.11,0.1,0.1,0.75,14,0.346153846,0.019230769,0.326923077,0.307692308,2
64,6,0.13,1,0.9,0.5,5,0,0,0,1,1
16,8,0.12,2,0.7,1,6,0,0,0.5,0.5,1
24,4,0.1,0.5,0.1,0.25,3,NA,NA,NA,NA,0
